fast_window,slow_window,split_idx,sharpe_ratio,total_return,max_drawdown,trade_count,dataset,selection_score,eligible_for_selection
6,12,0,-35.86682371340121,-0.6140509228551502,-0.6198482485047752,409,train,-35.86682371340121,True
6,12,1,-23.35919548950844,-0.5475546319886442,-0.5493640745667179,404,train,-23.35919548950844,True
6,18,0,-27.08319026994655,-0.5038418216918948,-0.5096670948333516,289,train,-27.08319026994655,True
6,18,1,-16.056856357534585,-0.41821653346530047,-0.42338803936461866,289,train,-16.056856357534585,True
6,24,0,-21.42565978273105,-0.433983220986192,-0.44701377175794277,240,train,-21.42565978273105,True
6,24,1,-12.363282366040828,-0.3369191182974829,-0.34524333159348886,230,train,-12.363282366040828,True
6,30,0,-18.609932277065504,-0.38467774690152795,-0.3987324966635458,211,train,-18.609932277065504,True
6,30,1,-10.711692405569135,-0.29566837816150815,-0.3026462006312989,194,train,-10.711692405569135,True
6,90,0,-10.732174317845685,-0.2323424080609117,-0.2453073474309817,119,train,-10.732174317845685,True
6,90,1,-5.8543011103275315,-0.17437909270872035,-0.21322173121650878,97,train,-5.8543011103275315,True
6,96,0,-9.42847732438763,-0.20652338835534192,-0.22371127573956295,108,train,-9.42847732438763,True
6,96,1,-5.71317809146832,-0.17052958389771902,-0.20533169623701086,95,train,-5.71317809146832,True
6,102,0,-8.123324043884534,-0.1805907236556359,-0.19834035125234584,98,train,-8.123324043884534,True
6,102,1,-4.935814588220048,-0.15010191656886104,-0.20397399957988438,97,train,-4.935814588220048,True
12,18,0,-26.089312430535838,-0.4926944198597943,-0.4985915471475183,292,train,-26.089312430535838,True
12,18,1,-17.307266760748117,-0.4329349833347054,-0.4346596613492224,284,train,-17.307266760748117,True
12,24,0,-19.87311655615447,-0.4031953689656344,-0.4113490172631812,206,train,-19.87311655615447,True
12,24,1,-11.855431337927893,-0.3196232658368468,-0.329400971677658,206,train,-11.855431337927893,True
12,30,0,-15.820014075357909,-0.3340594605283264,-0.3463160880584897,165,train,-15.820014075357909,True
12,30,1,-8.70322754933156,-0.24478064917756195,-0.2597889278484289,167,train,-8.70322754933156,True
12,90,0,-7.1843259526797425,-0.1661235431257795,-0.20488754958074662,86,train,-7.1843259526797425,True
12,90,1,-3.4184790356867722,-0.10623955665759809,-0.15727230038008688,76,train,-3.4184790356867722,True
12,96,0,-7.073131006852287,-0.15971177406577478,-0.1878404103218343,78,train,-7.073131006852287,True
12,96,1,-2.8969356285617955,-0.09185154630479804,-0.1634412422320629,71,train,-2.8969356285617955,True
12,102,0,-7.0284045857271975,-0.1581317717728274,-0.1868299349019764,76,train,-7.0284045857271975,True
12,102,1,-3.8387006447188776,-0.11724492962265946,-0.1669162266351335,71,train,-3.8387006447188776,True
18,24,0,-21.40078866081719,-0.42611266790080876,-0.43180031110495143,245,train,-21.40078866081719,True
18,24,1,-15.43284850674996,-0.3850692502808751,-0.3864118037051275,244,train,-15.43284850674996,True
18,30,0,-15.122892486815665,-0.3254675321421197,-0.3394096093568363,170,train,-15.122892486815665,True
18,30,1,-9.617125279758467,-0.2654905325316222,-0.28028865144365955,161,train,-9.617125279758467,True
