split_idx,fast_window,slow_window,selection_status,candidate_count_used,train_rank,validation_rank,test_rank,train_start,train_end,validation_start,validation_end,test_start,test_end,train_bars,validation_bars,test_bars,train_sharpe_ratio,train_total_return,train_max_drawdown,train_trade_count,validation_sharpe_ratio,validation_total_return,validation_max_drawdown,validation_trade_count,test_sharpe_ratio,test_total_return,test_max_drawdown,test_trade_count,train_hold_sharpe_ratio,train_hold_total_return,train_hold_max_drawdown,validation_hold_sharpe_ratio,validation_hold_total_return,validation_hold_max_drawdown,test_hold_sharpe_ratio,test_hold_total_return,test_hold_max_drawdown,train_validation_gap,validation_test_gap,test_vs_hold_gap
0,48,168,selected_from_train_eligible,8,7.0,5.0,11.0,2026-02-11 00:00:00+00:00,2026-03-17 23:55:00+00:00,2026-03-18 00:00:00+00:00,2026-03-27 23:55:00+00:00,2026-03-28 00:00:00+00:00,2026-04-06 23:55:00+00:00,10080,2880,2880,-1.0953955682339098,-0.04779838192178954,-0.13002005958079565,33.0,-1.02288674199306,-0.01084154459069282,-0.040061817159870006,7.0,-3.8814910599759522,-0.029016240753029138,-0.059183549256660584,10.0,1.6188925056496497,0.07357622093801569,-0.11405790158100226,-7.546266263010784,-0.10358475769350002,-0.12097717926959917,3.5417231008398824,0.03663827288894959,-0.04842971804246943,-0.07250882624084976,2.858604317982892,-7.423214160815835
1,96,192,selected_from_train_eligible,8,8.0,1.0,2.0,2026-02-12 12:30:00+00:00,2026-03-19 12:25:00+00:00,2026-03-19 12:30:00+00:00,2026-03-29 12:25:00+00:00,2026-03-29 12:30:00+00:00,2026-04-08 12:25:00+00:00,10080,2880,2880,-0.23929994813458974,-0.015852896860312854,-0.14197959373900593,27.0,1.2114671669834223,0.009412154705999796,-0.044126411283089695,6.0,2.944361391388446,0.020981870956128888,-0.029989356157406166,9.0,0.7290682712440774,0.024087843107400884,-0.11405790158100249,-2.961297979161357,-0.042190647056527954,-0.08838067330975119,6.459566176619141,0.0747687341514686,-0.04842971804247165,-1.450767115118012,-1.7328942244050236,-3.5152047852306954
2,96,192,selected_from_train_eligible,8,8.0,1.0,3.0,2026-02-14 00:55:00+00:00,2026-03-21 00:50:00+00:00,2026-03-21 00:55:00+00:00,2026-03-31 00:50:00+00:00,2026-03-31 00:55:00+00:00,2026-04-10 00:50:00+00:00,10080,2880,2880,-1.360363988397317,-0.05421430983532059,-0.14197959373900626,26.0,-0.4166812965536073,-0.005431430725841665,-0.04955751047242063,6.0,5.409881368879824,0.045026660994115446,-0.029780876179652194,9.0,0.6908683778569367,0.02197152623131194,-0.11405790158099816,-3.7527433446615617,-0.05187676531768898,-0.09519764728827118,6.205973367790281,0.07165428236451453,-0.04842971804247065,-0.9436826918437098,-5.826562665433431,-0.7960919989104571
3,48,144,selected_from_train_eligible,8,8.0,2.0,19.0,2026-02-15 13:25:00+00:00,2026-03-22 13:20:00+00:00,2026-03-22 13:25:00+00:00,2026-04-01 13:20:00+00:00,2026-04-01 13:25:00+00:00,2026-04-11 13:20:00+00:00,10080,2880,2880,-0.996598652529321,-0.04095790117919239,-0.08497622013428086,39.0,-1.1526857134242254,-0.01369972582968569,-0.0652651130856472,11.0,0.6913091453227832,0.0044479383517719955,-0.038343530207789356,14.0,0.10244465266641466,-0.008391349702206981,-0.11199148509855272,-0.18637156066585947,-0.006078760529527585,-0.09519764728826952,5.670457367047619,0.059928425702974436,-0.04778575755266645,0.15608706089490443,-1.8439948587470085,-4.979148221724835
