split_idx,fast_window,slow_window,selection_status,candidate_count_used,train_rank,validation_rank,test_rank,train_start,train_end,validation_start,validation_end,test_start,test_end,train_bars,validation_bars,test_bars,train_sharpe_ratio,train_total_return,train_max_drawdown,train_trade_count,validation_sharpe_ratio,validation_total_return,validation_max_drawdown,validation_trade_count,test_sharpe_ratio,test_total_return,test_max_drawdown,test_trade_count,train_hold_sharpe_ratio,train_hold_total_return,train_hold_max_drawdown,validation_hold_sharpe_ratio,validation_hold_total_return,validation_hold_max_drawdown,test_hold_sharpe_ratio,test_hold_total_return,test_hold_max_drawdown,train_validation_gap,validation_test_gap,test_vs_hold_gap
0,72,240,selected_from_train_eligible,8,6.0,3.0,33.0,2026-02-12 00:00:00+00:00,2026-03-18 23:55:00+00:00,2026-03-19 00:00:00+00:00,2026-03-28 23:55:00+00:00,2026-03-29 00:00:00+00:00,2026-04-07 23:55:00+00:00,10080,2880,2880,2.6805968723504563,0.09519511290388709,-0.11024848039206048,21.0,0.05824709011071976,-0.0010600938655979917,-0.044466460913006434,6.0,0.6906556588597074,0.004239520943313664,-0.053911658590332756,8.0,1.4139800265726918,0.06114932566739526,-0.11405790158099782,-5.022160109841247,-0.06941784074432997,-0.08838067330974808,7.091288542670192,0.08210071580129762,-0.04842971804247209,0.09625520676948508,-0.005299614808911656,-0.07786119485798396
1,168,264,selected_from_train_eligible,8,2.0,5.0,6.0,2026-02-13 10:05:00+00:00,2026-03-20 10:00:00+00:00,2026-03-20 10:05:00+00:00,2026-03-30 10:00:00+00:00,2026-03-30 10:05:00+00:00,2026-04-09 10:00:00+00:00,10080,2880,2880,2.4664417774810796,0.0839886768775989,-0.08376728310144277,19.0,0.5501522029551842,0.002594503300490601,-0.021821059337058357,5.0,3.9041642822369242,0.03209207447928702,-0.02863187895689845,7.0,1.2873186885781749,0.05399140046965294,-0.1140579015809976,-3.0538611424029956,-0.04342866713473529,-0.09519764728826974,5.328941398368837,0.05952515552323462,-0.04842971804246954,0.08139417357710829,-0.029497571178796415,-0.0274330810439476
2,168,264,selected_from_train_eligible,8,3.0,1.0,20.0,2026-02-14 20:15:00+00:00,2026-03-21 20:10:00+00:00,2026-03-21 20:15:00+00:00,2026-03-31 20:10:00+00:00,2026-03-31 20:15:00+00:00,2026-04-10 20:10:00+00:00,10080,2880,2880,1.9371083489469845,0.06470769580212891,-0.08376728310144277,20.0,1.152994002978751,0.007589981550216066,-0.031896132410029976,6.0,3.906451089642179,0.028822446466937778,-0.026863463806784282,7.0,0.4107676874607141,0.007397811903264824,-0.11405790158099882,-2.1394913747884288,-0.03314298101749569,-0.09519764728826874,6.949465682656451,0.07603626306695946,-0.04842971804246976,0.05711771425191285,-0.021232464916721712,-0.04721381660002168
3,168,264,selected_from_train_eligible,8,2.0,1.0,31.0,2026-02-16 06:20:00+00:00,2026-03-23 06:15:00+00:00,2026-03-23 06:20:00+00:00,2026-04-02 06:15:00+00:00,2026-04-02 06:20:00+00:00,2026-04-12 06:15:00+00:00,10080,2880,2880,2.852730014263466,0.09878007887704507,-0.08143808252920937,19.0,-0.09508433747280907,-0.0016715766891215935,-0.029973743416468412,6.0,-0.17277134679543524,-0.002496961301427973,-0.04478194212703035,7.0,0.33910252743916003,0.0037128182094321575,-0.11199148509855483,-1.6966000977200624,-0.027064991694877676,-0.09519764728827163,7.094949993246874,0.07422886217559767,-0.03450825524885426,0.10045165556616666,0.0008253846123063796,-0.07672582347702564
