fast_window,slow_window,split_idx,sharpe_ratio,total_return,max_drawdown,trade_count,dataset,selection_score,eligible_for_selection
24,48,0,-5.258662121260578,-0.18412843019874117,-0.23304019811384125,116,train,-5.258662121260578,True
24,48,1,-7.582154593774206,-0.24583716685838147,-0.25800682149004317,116,train,-7.582154593774206,True
24,48,2,-7.540138404069909,-0.24340398669055652,-0.25128685385631655,116,train,-7.540138404069909,True
24,48,3,-7.6053746187824105,-0.2441116564969001,-0.25586958583902886,115,train,-7.6053746187824105,True
24,72,0,-3.55330511056092,-0.12979351038854714,-0.16697135231700044,82,train,-3.55330511056092,True
24,72,1,-5.39313536391314,-0.18176812352880653,-0.19357352847403397,84,train,-5.39313536391314,True
24,72,2,-5.305412206975276,-0.17855172689950166,-0.18930432244800321,84,train,-5.305412206975276,True
24,72,3,-5.138484348330151,-0.1699610602221901,-0.18639577806529994,85,train,-5.138484348330151,True
24,96,0,-2.406253105422092,-0.09111362834319857,-0.11232111874392958,65,train,-2.406253105422092,True
24,96,1,-3.1121263270390465,-0.11063054700816292,-0.12584242718881122,65,train,-3.1121263270390465,True
24,96,2,-2.9027916793553503,-0.10359100719595074,-0.1166380219412686,64,train,-2.9027916793553503,True
24,96,3,-2.599002679993008,-0.09153808417249422,-0.12273500407261184,63,train,-2.599002679993008,True
24,120,0,-2.204922435474105,-0.08353516147522885,-0.11074811401923679,63,train,-2.204922435474105,True
24,120,1,-2.8464032621688893,-0.1010865021700729,-0.12057029473028058,62,train,-2.8464032621688893,True
24,120,2,-2.647827722335619,-0.09335278086956725,-0.1059490169391234,59,train,-2.647827722335619,True
24,120,3,-2.2737240765201907,-0.07979328419643548,-0.09532785538504085,59,train,-2.2737240765201907,True
24,144,0,0.5333182791775262,0.01258652332291524,-0.09284801038168744,48,train,0.5333182791775262,True
24,144,1,-0.6305551580645222,-0.028632661667685737,-0.09284801038168966,49,train,-0.6305551580645222,True
24,144,2,-0.7518643295912806,-0.03225575840579359,-0.07885612601243874,50,train,-0.7518643295912806,True
24,144,3,-0.2311644375792011,-0.01404838415624522,-0.06580067217805008,49,train,-0.2311644375792011,True
24,168,0,2.1831981241883858,0.07550892493269248,-0.07467869840768049,39,train,2.1831981241883858,True
24,168,1,1.407530080660466,0.04455741802294472,-0.07467869840768326,39,train,1.407530080660466,True
24,168,2,1.333792729746192,0.0412795015211218,-0.07357001075196068,39,train,1.333792729746192,True
24,168,3,1.4129701306389688,0.0434951950194345,-0.0735700107519549,39,train,1.4129701306389688,True
24,192,0,2.157503133670607,0.0746721824732714,-0.08304008925795936,32,train,2.157503133670607,True
24,192,1,1.4598701594338594,0.04662213554614323,-0.08304008925795148,32,train,1.4598701594338594,True
24,192,2,1.3750592424159853,0.04291357813942352,-0.07755897693861136,32,train,1.3750592424159853,True
24,192,3,1.8399151443805157,0.058776519684574056,-0.07755897693861269,31,train,1.8399151443805157,True
48,72,0,-1.487872085839811,-0.060855910054888565,-0.10307020982328186,73,train,-1.487872085839811,True
48,72,1,-2.2394353524881243,-0.08408220904306506,-0.10307020982328774,74,train,-2.2394353524881243,True
48,72,2,-2.539308296062275,-0.09360907984307948,-0.10196415372353207,76,train,-2.539308296062275,True
48,72,3,-2.4222159431960266,-0.08793757324287219,-0.11155612479302468,77,train,-2.4222159431960266,True
48,96,0,-3.340269755081142,-0.12448226795133087,-0.1601925821152569,62,train,-3.340269755081142,True
48,96,1,-3.847263685039382,-0.1363225132976437,-0.1594310780286644,62,train,-3.847263685039382,True
48,96,2,-4.031689510592082,-0.14152952166049249,-0.1532546688417965,61,train,-4.031689510592082,True
48,96,3,-3.3743210296727506,-0.11780707645501513,-0.12871883718876764,61,train,-3.3743210296727506,True
48,120,0,-3.277345586002714,-0.12070007922931575,-0.15474099558251964,52,train,-3.277345586002714,True
48,120,1,-3.1852577774075574,-0.11311226998975701,-0.15096083127193882,50,train,-3.1852577774075574,True
48,120,2,-2.812208955300542,-0.10000937939962455,-0.1240152316543276,48,train,-2.812208955300542,True
48,120,3,-2.157033403597247,-0.07712715626797638,-0.09440508387365665,48,train,-2.157033403597247,True
48,144,0,-0.5133801565218147,-0.025674194644583623,-0.11497801834874566,41,train,-0.5133801565218147,True
48,144,1,-1.3880931031556967,-0.05516681564563748,-0.11497801834874544,41,train,-1.3880931031556967,True
48,144,2,-1.2758521120608473,-0.05043812242113893,-0.08497622013427808,40,train,-1.2758521120608473,True
48,144,3,-0.7042932235330359,-0.030165490022069662,-0.08427746579351236,40,train,-0.7042932235330359,True
48,168,0,-0.12076642553198845,-0.01146260953160322,-0.12119681506717284,31,train,-0.12076642553198845,True
48,168,1,-0.9902382546590647,-0.041539132725907396,-0.12119681506716806,31,train,-0.9902382546590647,True
48,168,2,-0.7666740697752429,-0.03317362393169742,-0.10274187275071978,31,train,-0.7666740697752429,True
