split_idx,fast_window,slow_window,selection_status,candidate_count_used,train_rank,validation_rank,test_rank,train_start,train_end,validation_start,validation_end,test_start,test_end,train_bars,validation_bars,test_bars,train_sharpe_ratio,train_total_return,train_max_drawdown,train_trade_count,validation_sharpe_ratio,validation_total_return,validation_max_drawdown,validation_trade_count,test_sharpe_ratio,test_total_return,test_max_drawdown,test_trade_count,train_hold_sharpe_ratio,train_hold_total_return,train_hold_max_drawdown,validation_hold_sharpe_ratio,validation_hold_total_return,validation_hold_max_drawdown,test_hold_sharpe_ratio,test_hold_total_return,test_hold_max_drawdown,train_validation_gap,validation_test_gap,test_vs_hold_gap
0,96,192,selected_from_train_eligible,8,8.0,2.0,9.0,2026-02-12 00:00:00+00:00,2026-03-18 23:55:00+00:00,2026-03-19 00:00:00+00:00,2026-03-28 23:55:00+00:00,2026-03-29 00:00:00+00:00,2026-04-07 23:55:00+00:00,10080,2880,2880,-0.23929994813459055,-0.015852896860312854,-0.14197959373900593,27.0,0.048002067154677426,-0.0011798967274062307,-0.04412641128308992,6.0,1.7389915455855425,0.01226707687062094,-0.050438215654561525,10.0,1.4139800265726918,0.06114932566739526,-0.11405790158099782,-5.022160109841247,-0.06941784074432997,-0.08838067330974808,7.091288542670192,0.08210071580129762,-0.04842971804247209,-0.28730201528926796,-1.690989478430865,-5.3522969970846495
1,96,192,selected_from_train_eligible,8,8.0,1.0,2.0,2026-02-13 10:05:00+00:00,2026-03-20 10:00:00+00:00,2026-03-20 10:05:00+00:00,2026-03-30 10:00:00+00:00,2026-03-30 10:05:00+00:00,2026-04-09 10:00:00+00:00,10080,2880,2880,-1.1366966255908515,-0.0467816602062145,-0.14197959373900815,27.0,1.0488218201435173,0.008017750562996867,-0.044126411283091915,6.0,2.4516474393884375,0.018194675346451618,-0.029989356157406166,9.0,1.2873186885781749,0.05399140046965294,-0.1140579015809976,-3.0538611424029956,-0.04342866713473529,-0.09519764728826974,5.328941398368837,0.05952515552323462,-0.04842971804246954,-2.1855184457343686,-1.4028256192449202,-2.8772939589803994
2,96,192,selected_from_train_eligible,8,8.0,4.0,2.0,2026-02-14 20:15:00+00:00,2026-03-21 20:10:00+00:00,2026-03-21 20:15:00+00:00,2026-03-31 20:10:00+00:00,2026-03-31 20:15:00+00:00,2026-04-10 20:10:00+00:00,10080,2880,2880,-1.204147992963125,-0.04828570239522082,-0.1343984200964593,26.0,-1.8376933771933601,-0.019068091929655792,-0.07122377048291861,8.0,5.749259406435357,0.04472961264777064,-0.026396191867198104,9.0,0.4107676874607141,0.007397811903264824,-0.11405790158099882,-2.1394913747884288,-0.03314298101749569,-0.09519764728826874,6.949465682656451,0.07603626306695946,-0.04842971804246976,0.6335453842302352,-7.586952783628717,-1.2002062762210945
3,48,144,selected_from_train_eligible,8,8.0,1.0,17.0,2026-02-16 06:20:00+00:00,2026-03-23 06:15:00+00:00,2026-03-23 06:20:00+00:00,2026-04-02 06:15:00+00:00,2026-04-02 06:20:00+00:00,2026-04-12 06:15:00+00:00,10080,2880,2880,-0.7042932235330359,-0.030165490022069662,-0.08427746579351236,40.0,-6.356656050732989,-0.046981425885630757,-0.05556067070420356,12.0,-0.6053274249495162,-0.006300870046322871,-0.047150257616714764,14.0,0.33910252743916003,0.0037128182094321575,-0.11199148509855483,-1.6966000977200624,-0.027064991694877676,-0.09519764728827163,7.094949993246874,0.07422886217559767,-0.03450825524885426,5.652362827199953,-5.751328625783472,-7.70027741819639
