split_idx,fast_window,slow_window,train_sharpe,validation_sharpe,test_sharpe,test_hold_sharpe,test_minus_hold
0,72,144,-0.322965067746678,3.9694412205776133,-6.681199662842088,0.26767794801640055,-6.948877610858489
1,72,144,3.274003745383371,7.4875689968159955,-6.713456106872777,7.722670878672538,-14.436126985545314
2,48,72,-0.6329737698098096,2.2677141546524577,-6.897234016719352,-2.7335561195645655,-4.163677897154787
3,18,96,0.09800854728758225,2.9472269146390038,-6.528854760652957,-3.7695378446919934,-2.759316915960963
4,48,72,2.3713676075286285,-2.587754433209663,7.057918099692079,-7.119697898437613,14.177615998129692
5,36,72,0.6271284660953794,1.0587762058051708,-10.943917173479974,3.0751070476662523,-14.019024221146227
