candidate_id,split_idx,sharpe_ratio,total_return,max_drawdown,trade_count,dataset,selection_score,eligible_for_selection,family,strategy_name,candidate_label,params_json,fast_window,slow_window
"ma_crossover_ls|fast_window=18,slow_window=48",0,-0.4657024542476722,-0.02984803275814386,-0.1750156081465427,135,train,-0.4657024542476722,True,ma_crossover_ls,ma_crossover_ls,"fast_window=18, slow_window=48","{""fast_window"": 18, ""slow_window"": 48}",18,48
"ma_crossover_ls|fast_window=18,slow_window=48",1,-2.558922781420832,-0.05989125912446025,-0.11660494439626112,134,train,-2.558922781420832,True,ma_crossover_ls,ma_crossover_ls,"fast_window=18, slow_window=48","{""fast_window"": 18, ""slow_window"": 48}",18,48
"ma_crossover_ls|fast_window=18,slow_window=72",0,1.700822144154679,0.05149953262738541,-0.15494684374500256,96,train,1.700822144154679,True,ma_crossover_ls,ma_crossover_ls,"fast_window=18, slow_window=72","{""fast_window"": 18, ""slow_window"": 72}",18,72
"ma_crossover_ls|fast_window=18,slow_window=72",1,-4.573718487628853,-0.10133512320072793,-0.15366186251273728,110,train,-4.573718487628853,True,ma_crossover_ls,ma_crossover_ls,"fast_window=18, slow_window=72","{""fast_window"": 18, ""slow_window"": 72}",18,72
"ma_crossover_ls|fast_window=18,slow_window=96",0,0.3897021913050958,0.0025199464416147065,-0.14435827423518954,83,train,0.3897021913050958,True,ma_crossover_ls,ma_crossover_ls,"fast_window=18, slow_window=96","{""fast_window"": 18, ""slow_window"": 96}",18,96
"ma_crossover_ls|fast_window=18,slow_window=96",1,-2.7247063759886987,-0.06336000933333458,-0.16654190128298052,88,train,-2.7247063759886987,True,ma_crossover_ls,ma_crossover_ls,"fast_window=18, slow_window=96","{""fast_window"": 18, ""slow_window"": 96}",18,96
"ma_crossover_ls|fast_window=24,slow_window=144",0,0.7815133615006744,0.015435595180838731,-0.11170916411358067,58,train,0.7815133615006744,True,ma_crossover_ls,ma_crossover_ls,"fast_window=24, slow_window=144","{""fast_window"": 24, ""slow_window"": 144}",24,144
"ma_crossover_ls|fast_window=24,slow_window=144",1,0.7532580390378399,0.012303482251113678,-0.10003611047004968,64,train,0.7532580390378399,True,ma_crossover_ls,ma_crossover_ls,"fast_window=24, slow_window=144","{""fast_window"": 24, ""slow_window"": 144}",24,144
"ma_crossover_ls|fast_window=24,slow_window=36",0,-9.602334031665311,-0.3155116577347451,-0.3727347806778434,189,train,-9.602334031665311,True,ma_crossover_ls,ma_crossover_ls,"fast_window=24, slow_window=36","{""fast_window"": 24, ""slow_window"": 36}",24,36
"ma_crossover_ls|fast_window=24,slow_window=36",1,-5.958488755826884,-0.1291175107466204,-0.1661027420514224,208,train,-5.958488755826884,True,ma_crossover_ls,ma_crossover_ls,"fast_window=24, slow_window=36","{""fast_window"": 24, ""slow_window"": 36}",24,36
