split_idx,fast_window,slow_window,train_start,validation_start,test_start,test_end,train_sharpe_ratio,validation_sharpe_ratio,test_sharpe_ratio,train_validation_gap,validation_test_gap,test_vs_hold_gap,selection_metric
0,96,144,2024-10-19 07:10:00+00:00,2024-12-03 07:10:00+00:00,2024-12-18 07:10:00+00:00,2025-01-02 07:05:00+00:00,3.472039230310174,4.113113510810092,-6.671929559264153,-0.6410742804999181,10.785043070074245,-3.050626682567387,sharpe_ratio
1,96,144,2025-01-20 07:10:00+00:00,2025-03-06 07:10:00+00:00,2025-03-21 07:10:00+00:00,2025-04-05 07:05:00+00:00,-2.6215682245335614,-1.526007235590052,-2.947970992593393,-1.0955609889435094,1.421963757003341,-2.613356643434441,sharpe_ratio
2,24,96,2025-04-23 07:10:00+00:00,2025-06-07 07:10:00+00:00,2025-06-22 07:10:00+00:00,2025-07-07 07:05:00+00:00,-5.327373203402702,-2.614546083012784,-7.401427108450315,-2.7128271203899184,4.786881025437531,-12.221210817615713,sharpe_ratio
3,24,96,2025-07-25 07:10:00+00:00,2025-09-08 07:10:00+00:00,2025-09-23 07:10:00+00:00,2025-10-08 07:05:00+00:00,-6.334645105018983,-4.880607978103011,1.0885954633867438,-1.4540371269159715,-5.969203441489755,-4.943856251889794,sharpe_ratio
4,36,144,2025-10-26 07:10:00+00:00,2025-12-10 07:10:00+00:00,2025-12-25 07:10:00+00:00,2026-01-09 07:05:00+00:00,-3.7303434358502763,-1.2623842132765473,-0.5563477697156606,-2.467959222573729,-0.7060364435608867,-3.501963258326007,sharpe_ratio
5,36,144,2026-01-27 07:10:00+00:00,2026-03-13 07:10:00+00:00,2026-03-28 07:10:00+00:00,2026-04-12 07:05:00+00:00,-1.5998607677463534,0.5086326403822058,-1.2570872783346254,-2.108493408128559,1.7657199187168313,-5.810426977497496,sharpe_ratio
