split_idx,fast_window,slow_window,selection_status,candidate_count_used,train_rank,validation_rank,test_rank,train_start,train_end,validation_start,validation_end,test_start,test_end,train_bars,validation_bars,test_bars,train_sharpe_ratio,train_total_return,train_max_drawdown,train_trade_count,validation_sharpe_ratio,validation_total_return,validation_max_drawdown,validation_trade_count,test_sharpe_ratio,test_total_return,test_max_drawdown,test_trade_count,train_hold_sharpe_ratio,train_hold_total_return,train_hold_max_drawdown,validation_hold_sharpe_ratio,validation_hold_total_return,validation_hold_max_drawdown,test_hold_sharpe_ratio,test_hold_total_return,test_hold_max_drawdown,train_validation_gap,validation_test_gap,test_vs_hold_gap
0,72,264,selected_from_train_eligible,8,7.0,7.0,28.0,2026-02-12 00:00:00+00:00,2026-03-18 23:55:00+00:00,2026-03-19 00:00:00+00:00,2026-03-28 23:55:00+00:00,2026-03-29 00:00:00+00:00,2026-04-07 23:55:00+00:00,10080,2880,2880,2.931023389541085,0.10512566071016977,-0.09612138079668298,20.0,-0.9278886248173053,-0.010284260852262719,-0.04309934844723318,6.0,0.27294823407372265,0.001020929232310891,-0.05641828931568926,8.0,1.4139800265726918,0.06114932566739526,-0.11405790158099782,-5.022160109841247,-0.06941784074432997,-0.08838067330974808,7.091288542670192,0.08210071580129762,-0.04842971804247209,0.11540992156243249,-0.01130519008457361,-0.08107978656898672
1,144,288,selected_from_train_eligible,8,1.0,2.0,30.0,2026-02-13 10:05:00+00:00,2026-03-20 10:00:00+00:00,2026-03-20 10:05:00+00:00,2026-03-30 10:00:00+00:00,2026-03-30 10:05:00+00:00,2026-04-09 10:00:00+00:00,10080,2880,2880,4.216463353382509,0.14929857482620743,-0.05389908976164193,17.0,2.618150343625508,0.014929209653137605,-0.021821059337058357,4.0,0.5407443457758392,0.003025665878589962,-0.0321982449136613,6.0,1.2873186885781749,0.05399140046965294,-0.1140579015809976,-3.0538611424029956,-0.04342866713473529,-0.09519764728826974,5.328941398368837,0.05952515552323462,-0.04842971804246954,0.13436936517306983,0.011903543774547644,-0.05649948964464466
2,168,264,selected_from_train_eligible,8,7.0,1.0,16.0,2026-02-14 20:15:00+00:00,2026-03-21 20:10:00+00:00,2026-03-21 20:15:00+00:00,2026-03-31 20:10:00+00:00,2026-03-31 20:15:00+00:00,2026-04-10 20:10:00+00:00,10080,2880,2880,1.9371083489469845,0.06470769580212891,-0.08376728310144277,20.0,1.152994002978751,0.007589981550216066,-0.031896132410029976,6.0,3.906451089642179,0.028822446466937778,-0.026863463806784282,7.0,0.4107676874607141,0.007397811903264824,-0.11405790158099882,-2.1394913747884288,-0.03314298101749569,-0.09519764728826874,6.949465682656451,0.07603626306695946,-0.04842971804246976,0.05711771425191285,-0.021232464916721712,-0.04721381660002168
3,168,288,selected_from_train_eligible,8,2.0,1.0,26.0,2026-02-16 06:20:00+00:00,2026-03-23 06:15:00+00:00,2026-03-23 06:20:00+00:00,2026-04-02 06:15:00+00:00,2026-04-02 06:20:00+00:00,2026-04-12 06:15:00+00:00,10080,2880,2880,3.388220409394892,0.11954292039086215,-0.05725721407482243,18.0,0.41795975498070387,0.0020816786622877997,-0.03420504674163172,5.0,-1.4233508576093377,-0.01220580741831145,-0.04730750591824051,7.0,0.33910252743916003,0.0037128182094321575,-0.11199148509855483,-1.6966000977200624,-0.027064991694877676,-0.09519764728827163,7.068338888465933,0.07393642451088545,-0.03450825524885426,0.11746124172857435,0.01428748608059925,-0.0861422319291969
