split_idx,fast_window,slow_window,train_start,validation_start,test_start,test_end,train_total_return,validation_total_return,test_total_return,train_validation_gap,validation_test_gap,test_vs_hold_gap,selection_metric
0,96,144,2024-10-19 07:10:00+00:00,2024-12-03 07:10:00+00:00,2024-12-18 07:10:00+00:00,2025-01-02 07:05:00+00:00,0.1762811158592407,0.06344450135399735,-0.08505561192661787,0.11283661450524335,0.14850011328061521,-0.0021270713421067677,total_return
1,36,144,2025-01-20 07:10:00+00:00,2025-03-06 07:10:00+00:00,2025-03-21 07:10:00+00:00,2025-04-05 07:05:00+00:00,-0.07044658210419857,-0.10842431286196257,-0.017222258950229958,0.03797773075776399,-0.09120205391173261,-0.007590463799499958,total_return
2,18,144,2025-04-23 07:10:00+00:00,2025-06-07 07:10:00+00:00,2025-06-22 07:10:00+00:00,2025-07-07 07:05:00+00:00,-0.10097003909652176,-0.03067765899702215,-0.03155610637062807,-0.07029238009949962,0.0008784473736059215,-0.0902643717151567,total_return
3,24,96,2025-07-25 07:10:00+00:00,2025-09-08 07:10:00+00:00,2025-09-23 07:10:00+00:00,2025-10-08 07:05:00+00:00,-0.1541493388634748,-0.03178317513646016,0.009667694961656025,-0.12236616372701463,-0.04145087009811618,-0.06612821605365275,total_return
4,36,144,2025-10-26 07:10:00+00:00,2025-12-10 07:10:00+00:00,2025-12-25 07:10:00+00:00,2026-01-09 07:05:00+00:00,-0.13483035436292187,-0.01833792209640103,-0.006423255598003266,-0.11649243226652084,-0.011914666498397763,-0.04246562129806228,total_return
5,36,144,2026-01-27 07:10:00+00:00,2026-03-13 07:10:00+00:00,2026-03-28 07:10:00+00:00,2026-04-12 07:05:00+00:00,-0.08383656278003115,0.004789592378738234,-0.017245177747338403,-0.08862615515876938,0.022034770126076637,-0.09437120525923864,total_return
