split_idx,fast_window,slow_window,selection_status,candidate_count_used,train_rank,validation_rank,test_rank,train_start,train_end,validation_start,validation_end,test_start,test_end,train_bars,validation_bars,test_bars,train_sharpe_ratio,train_total_return,train_max_drawdown,train_trade_count,validation_sharpe_ratio,validation_total_return,validation_max_drawdown,validation_trade_count,test_sharpe_ratio,test_total_return,test_max_drawdown,test_trade_count,train_hold_sharpe_ratio,train_hold_total_return,train_hold_max_drawdown,validation_hold_sharpe_ratio,validation_hold_total_return,validation_hold_max_drawdown,test_hold_sharpe_ratio,test_hold_total_return,test_hold_max_drawdown,train_validation_gap,validation_test_gap,test_vs_hold_gap
0,96,144,selected_from_train_eligible,6,1.0,1.0,2.0,2024-10-19 07:10:00+00:00,2024-12-03 07:05:00+00:00,2024-12-03 07:10:00+00:00,2024-12-18 07:05:00+00:00,2024-12-18 07:10:00+00:00,2025-01-02 07:05:00+00:00,12960,4320,4320,3.472039230310174,0.1762811158592407,-0.08350545880366766,50.0,4.113113510810092,0.06344450135399735,-0.0652734905190514,15.0,-6.671929559264153,-0.08505561192661787,-0.11032466198933966,20.0,5.610251614763815,0.3962826626934341,-0.08994226034372144,3.9160550406353964,0.08838325708385651,-0.09101673511863817,-3.621302876696766,-0.0829285405845111,-0.13006368890877207,0.11283661450524335,0.14850011328061521,-0.0021270713421067677
1,36,144,selected_from_train_eligible,6,3.0,7.0,4.0,2025-01-20 07:10:00+00:00,2025-03-06 07:05:00+00:00,2025-03-06 07:10:00+00:00,2025-03-21 07:05:00+00:00,2025-03-21 07:10:00+00:00,2025-04-05 07:05:00+00:00,12960,4320,4320,-1.3566464467364971,-0.07044658210419857,-0.21897326002085826,55.0,-6.572439550905534,-0.10842431286196257,-0.13968478125665484,20.0,-1.2044705299545382,-0.017222258950229958,-0.06989123559032329,15.0,-2.018596263250727,-0.1599336491056108,-0.27983631869939096,-3.10541333876373,-0.08370026919645226,-0.16249886337593522,-0.33461434915895216,-0.00963179515073,-0.08209599921835442,0.03797773075776399,-0.09120205391173261,-0.007590463799499958
2,18,144,selected_from_train_eligible,6,3.0,2.0,8.0,2025-04-23 07:10:00+00:00,2025-06-07 07:05:00+00:00,2025-06-07 07:10:00+00:00,2025-06-22 07:05:00+00:00,2025-06-22 07:10:00+00:00,2025-07-07 07:05:00+00:00,12960,4320,4320,-3.1383471768197304,-0.10097003909652176,-0.14434020979798878,78.0,-3.5013460939775474,-0.03067765899702215,-0.06904906568028701,18.0,-3.494911357552776,-0.03155610637062807,-0.06548325366230034,27.0,2.767733510182611,0.1217027255471362,-0.10221366126038478,-1.4836001428057268,-0.022448914818135563,-0.08561601302929289,4.8197837091653986,0.05870826534452862,-0.04263230091690129,-0.07029238009949962,0.0008784473736059215,-0.0902643717151567
3,24,96,selected_from_train_eligible,6,6.0,2.0,16.0,2025-07-25 07:10:00+00:00,2025-09-08 07:05:00+00:00,2025-09-08 07:10:00+00:00,2025-09-23 07:05:00+00:00,2025-09-23 07:10:00+00:00,2025-10-08 07:05:00+00:00,12960,4320,4320,-6.334645105018983,-0.1541493388634748,-0.16554910004580925,86.0,-4.880607978103011,-0.03178317513646016,-0.056983789021150644,28.0,1.0885954633867438,0.009667694961656025,-0.05098987209360728,30.0,-0.8469092062613258,-0.03836090063196923,-0.13633996580258612,1.4864071171202544,0.014053518724752734,-0.05326465743049469,6.032451715276538,0.07579591101530878,-0.04579472543161123,-0.12236616372701463,-0.04145087009811618,-0.06612821605365275
4,36,144,selected_from_train_eligible,6,3.0,1.0,1.0,2025-10-26 07:10:00+00:00,2025-12-10 07:05:00+00:00,2025-12-10 07:10:00+00:00,2025-12-25 07:05:00+00:00,2025-12-25 07:10:00+00:00,2026-01-09 07:05:00+00:00,12960,4320,4320,-3.7303434358502763,-0.13483035436292187,-0.17924823714675642,51.0,-1.2623842132765473,-0.01833792209640103,-0.07178630292402477,18.0,-0.5563477697156606,-0.006423255598003266,-0.050034446788223885,17.0,-2.7193614022101498,-0.17171616931546715,-0.30263138737099726,-2.7016232659290114,-0.05266012390472576,-0.10364870122422654,2.9456154886103465,0.03604236570005901,-0.05609765133422695,-0.11649243226652084,-0.011914666498397763,-0.04246562129806228
5,36,144,selected_from_train_eligible,6,3.0,1.0,2.0,2026-01-27 07:10:00+00:00,2026-03-13 07:05:00+00:00,2026-03-13 07:10:00+00:00,2026-03-28 07:05:00+00:00,2026-03-28 07:10:00+00:00,2026-04-12 07:05:00+00:00,12960,4320,4320,-1.5998607677463534,-0.08383656278003115,-0.18545690066948906,58.0,0.5086326403822058,0.004789592378738234,-0.05381722389505694,15.0,-1.2570872783346254,-0.017245177747338403,-0.0531847630231993,21.0,-2.312289571079462,-0.19319334090907625,-0.33588698467930933,-3.4055241903685736,-0.07097172994372261,-0.13608972552407683,4.572456674716441,0.07712602751190024,-0.04961135343992218,-0.08862615515876938,0.022034770126076637,-0.09437120525923864
