split_idx,fast_window,slow_window,selection_status,candidate_count_used,train_rank,validation_rank,test_rank,train_start,train_end,validation_start,validation_end,test_start,test_end,train_bars,validation_bars,test_bars,train_sharpe_ratio,train_total_return,train_max_drawdown,train_trade_count,validation_sharpe_ratio,validation_total_return,validation_max_drawdown,validation_trade_count,test_sharpe_ratio,test_total_return,test_max_drawdown,test_trade_count,train_hold_sharpe_ratio,train_hold_total_return,train_hold_max_drawdown,validation_hold_sharpe_ratio,validation_hold_total_return,validation_hold_max_drawdown,test_hold_sharpe_ratio,test_hold_total_return,test_hold_max_drawdown,train_validation_gap,validation_test_gap,test_vs_hold_gap
0,24,168,selected_from_train_eligible,8,6.0,12.0,19.0,2026-02-12 00:00:00+00:00,2026-03-18 23:55:00+00:00,2026-03-19 00:00:00+00:00,2026-03-28 23:55:00+00:00,2026-03-29 00:00:00+00:00,2026-04-07 23:55:00+00:00,10080,2880,2880,2.1831981241883858,0.07550892493269248,-0.07467869840768049,39.0,-1.7839519481414046,-0.017861479672562724,-0.04204900284806845,12.0,1.2426269325857144,0.00902945943974214,-0.06223328598580591,13.0,1.4139800265726918,0.06114932566739526,-0.11405790158099782,-5.022160109841247,-0.06941784074432997,-0.08838067330974808,7.091288542670192,0.08210071580129762,-0.04842971804247209,0.09337040460525521,-0.026890939112304862,-0.07307125636155548
1,96,240,selected_from_train_eligible,8,7.0,3.0,2.0,2026-02-13 10:05:00+00:00,2026-03-20 10:00:00+00:00,2026-03-20 10:05:00+00:00,2026-03-30 10:00:00+00:00,2026-03-30 10:05:00+00:00,2026-04-09 10:00:00+00:00,10080,2880,2880,1.0633900546462285,0.0312649693196247,-0.09145225041836402,21.0,0.5042881571022125,0.0030525760312332295,-0.04717514557587965,5.0,5.185287916915342,0.039088315604453895,-0.027762501286909824,6.0,1.2873186885781749,0.05399140046965294,-0.1140579015809976,-3.0538611424029956,-0.04342866713473529,-0.09519764728826974,5.328941398368837,0.05952515552323462,-0.04842971804246954,0.02821239328839147,-0.03603573957322066,-0.020436839918780723
2,168,240,selected_from_train_eligible,8,1.0,1.0,20.0,2026-02-14 20:15:00+00:00,2026-03-21 20:10:00+00:00,2026-03-21 20:15:00+00:00,2026-03-31 20:10:00+00:00,2026-03-31 20:15:00+00:00,2026-04-10 20:10:00+00:00,10080,2880,2880,1.8144996176251669,0.06011552196752837,-0.07798637341762216,21.0,0.6216552207627764,0.00354452981807799,-0.04104267514986348,6.0,1.9207783997201016,0.013532380810602148,-0.027800651196692394,7.0,0.4107676874607141,0.007397811903264824,-0.11405790158099882,-2.1394913747884288,-0.03314298101749569,-0.09519764728826874,6.949465682656451,0.07603626306695946,-0.04842971804246976,0.056570992149450376,-0.009987850992524158,-0.06250388225635731
3,168,240,selected_from_train_eligible,8,2.0,1.0,27.0,2026-02-16 06:20:00+00:00,2026-03-23 06:15:00+00:00,2026-03-23 06:20:00+00:00,2026-04-02 06:15:00+00:00,2026-04-02 06:20:00+00:00,2026-04-12 06:15:00+00:00,10080,2880,2880,1.9375551082478157,0.06382727831524676,-0.07213087048706934,20.0,-0.3071034825105536,-0.0031471735175856567,-0.035201133100277504,6.0,-2.2861521173825174,-0.01898828588681806,-0.054482761675443525,7.0,0.33910252743916003,0.0037128182094321575,-0.11199148509855483,-1.6966000977200624,-0.027064991694877676,-0.09519764728827163,7.094949993246874,0.07422886217559767,-0.03450825524885426,0.06697445183283242,0.015841112369232403,-0.09321714806241573
