split_idx,fast_window,slow_window,train_start,validation_start,test_start,test_end,train_sharpe_ratio,validation_sharpe_ratio,test_sharpe_ratio,train_validation_gap,validation_test_gap,test_vs_hold_gap,selection_metric
0,96,144,2024-10-19 07:10:00+00:00,2024-12-03 07:10:00+00:00,2024-12-18 07:10:00+00:00,2025-01-02 07:05:00+00:00,3.472039230310174,4.113113510810092,-6.671929559264153,-0.6410742804999181,10.785043070074245,-3.050626682567387,sharpe_ratio
1,36,144,2025-01-20 07:10:00+00:00,2025-03-06 07:10:00+00:00,2025-03-21 07:10:00+00:00,2025-04-05 07:05:00+00:00,-1.3566464467364971,-6.572439550905534,-1.2044705299545382,5.215793104169037,-5.367969020950996,-0.869856180795586,sharpe_ratio
2,18,144,2025-04-23 07:10:00+00:00,2025-06-07 07:10:00+00:00,2025-06-22 07:10:00+00:00,2025-07-07 07:05:00+00:00,-3.1383471768197304,-3.5013460939775474,-3.494911357552776,0.36299891715781696,-0.006434736424771437,-8.314695066718174,sharpe_ratio
3,36,96,2025-07-25 07:10:00+00:00,2025-09-08 07:10:00+00:00,2025-09-23 07:10:00+00:00,2025-10-08 07:05:00+00:00,-4.242548610278863,-5.812306015396112,5.76131015009371,1.5697574051172491,-11.573616165489822,-0.2711415651828277,sharpe_ratio
4,48,96,2025-10-26 07:10:00+00:00,2025-12-10 07:10:00+00:00,2025-12-25 07:10:00+00:00,2026-01-09 07:05:00+00:00,-2.3542345166466347,-2.9445633532804556,-3.784492790062188,0.5903288366338209,0.8399294367817323,-6.730108278672534,sharpe_ratio
5,36,144,2026-01-27 07:10:00+00:00,2026-03-13 07:10:00+00:00,2026-03-28 07:10:00+00:00,2026-04-12 07:05:00+00:00,-1.5998607677463534,0.5086326403822058,-1.2570872783346254,-2.108493408128559,1.7657199187168313,-5.829543953051067,sharpe_ratio
