fast_window,slow_window,split_idx,sharpe_ratio,total_return,max_drawdown,trade_count,dataset,selection_score,eligible_for_selection
12,18,0,-17.133619489956306,-0.5391295350637808,-0.5391295350637875,437,train,-0.5391295350637808,True
12,18,1,-18.10708609098072,-0.6050039262858176,-0.6264270832087138,439,train,-0.6050039262858176,True
12,18,2,-25.672204095434896,-0.5802440130740593,-0.5819193790601307,420,train,-0.5802440130740593,True
12,18,3,-32.08968603928488,-0.6067454819563017,-0.6110548394841554,430,train,-0.6067454819563017,True
12,18,4,-24.44359613722715,-0.6562664465559747,-0.6659432086953128,445,train,-0.6562664465559747,True
12,18,5,-16.377523398202687,-0.603739262843336,-0.6040687383402725,427,train,-0.603739262843336,True
12,24,0,-8.65694252054394,-0.32525369639519863,-0.3252536963952043,305,train,-0.32525369639519863,True
12,24,1,-13.67246020307464,-0.48899559733952214,-0.5161439678868791,299,train,-0.48899559733952214,True
12,24,2,-17.77666618721121,-0.44837028572222404,-0.4558707445439648,305,train,-0.44837028572222404,True
12,24,3,-26.00572849941351,-0.5136294675382694,-0.5201914989500587,315,train,-0.5136294675382694,True
12,24,4,-17.147463840874376,-0.5257171804922618,-0.5441573361233939,314,train,-0.5257171804922618,True
12,24,5,-13.023000527781827,-0.5154219032448959,-0.5179128246441511,315,train,-0.5154219032448959,True
12,30,0,-8.375456034697516,-0.3164604386516709,-0.31650618966530497,253,train,-0.3164604386516709,True
12,30,1,-9.65346176366929,-0.37780774065467504,-0.42071892249131626,244,train,-0.37780774065467504,True
12,30,2,-14.880934694622018,-0.3890965366306134,-0.40596327183059744,246,train,-0.3890965366306134,True
12,30,3,-21.706660279862316,-0.44898338477688915,-0.458064893547684,256,train,-0.44898338477688915,True
12,30,4,-15.309746025501827,-0.48098041539719905,-0.5025251512586975,264,train,-0.48098041539719905,True
12,30,5,-10.643691043139356,-0.4445313386303261,-0.45062124946474846,250,train,-0.4445313386303261,True
12,42,0,-4.776283283378174,-0.1997873059944718,-0.1997873059944717,203,train,-0.1997873059944718,True
12,42,1,-6.828369913018412,-0.2813118748141371,-0.328178860686271,186,train,-0.2813118748141371,True
12,42,2,-8.287802842977419,-0.24098711801115041,-0.26637906287682356,179,train,-0.24098711801115041,True
12,42,3,-18.533306043617692,-0.39564081999701706,-0.4050947690033708,197,train,-0.39564081999701706,True
12,42,4,-11.920089864757509,-0.39640645998868185,-0.422757710526532,194,train,-0.39640645998868185,True
12,42,5,-10.261806146795811,-0.42864128926707135,-0.432921266198957,200,train,-0.42864128926707135,True
12,54,0,-2.4444267550777483,-0.11174544486545313,-0.13949530839573598,160,train,-0.11174544486545313,True
12,54,1,-6.2771957640952705,-0.26213983648833916,-0.32096914077118777,158,train,-0.26213983648833916,True
12,54,2,-7.011058781960719,-0.20818097112685008,-0.23545238686361292,155,train,-0.20818097112685008,True
12,54,3,-16.621965930269464,-0.3585296046984006,-0.3663314785347125,174,train,-0.3585296046984006,True
12,54,4,-10.43389637620939,-0.3506472023486142,-0.37614504128731896,167,train,-0.3506472023486142,True
12,54,5,-6.685561836964918,-0.30050801248005315,-0.3046777533380013,159,train,-0.30050801248005315,True
12,78,0,-1.425091828954345,-0.0703357956184875,-0.13284400580326772,133,train,-0.0703357956184875,True
12,78,1,-6.397391205960491,-0.26820977488339565,-0.33787009216741326,133,train,-0.26820977488339565,True
12,78,2,-7.20701080177401,-0.2136836162542552,-0.24189080315264033,128,train,-0.2136836162542552,True
12,78,3,-13.301471644838555,-0.29855187494324187,-0.308666191308104,135,train,-0.29855187494324187,True
12,78,4,-7.208928515546381,-0.25563354380725084,-0.2810245646024523,127,train,-0.25563354380725084,True
12,78,5,-6.12456960799046,-0.27628108937151274,-0.2833659451445135,127,train,-0.27628108937151274,True
12,102,0,-3.2962237014691014,-0.1494456378641752,-0.17114888105572545,122,train,-0.1494456378641752,True
12,102,1,-4.356202035520401,-0.19541660048130347,-0.2834378400518752,112,train,-0.19541660048130347,True
12,102,2,-6.115272218459667,-0.185969944023401,-0.21903157479173885,111,train,-0.185969944023401,True
12,102,3,-9.486227520615763,-0.2210673043365498,-0.2319297403800037,107,train,-0.2210673043365498,True
12,102,4,-6.693892206403606,-0.23602129534116625,-0.25896882585924774,110,train,-0.23602129534116625,True
12,102,5,-5.819291731446216,-0.2634232593475372,-0.2753823068636464,112,train,-0.2634232593475372,True
12,150,0,-1.1731122014836388,-0.06304842275857596,-0.17034444395006743,91,train,-0.06304842275857596,True
12,150,1,-2.346483679993143,-0.11432088503711532,-0.2516117344667962,82,train,-0.11432088503711532,True
12,150,2,-3.485718471866934,-0.11100471508342263,-0.14175050280240276,95,train,-0.11100471508342263,True
12,150,3,-8.797774386835275,-0.20126719059642756,-0.20574937946609972,87,train,-0.20126719059642756,True
12,150,4,-4.034743143818343,-0.1448859458316034,-0.18319490939392635,75,train,-0.1448859458316034,True
12,150,5,-3.323049708517236,-0.1594901110251835,-0.18799234646428753,80,train,-0.1594901110251835,True
18,24,0,-12.117829663094188,-0.42205279776001575,-0.4220527977600148,362,train,-0.42205279776001575,True
18,24,1,-15.612486303222651,-0.5322641841078762,-0.5492291630937763,356,train,-0.5322641841078762,True
18,24,2,-20.234841247105468,-0.4977305833031055,-0.5004158959549088,347,train,-0.4977305833031055,True
18,24,3,-29.47855260737683,-0.5577337953834313,-0.5612384842389848,367,train,-0.5577337953834313,True
18,24,4,-20.96937169325587,-0.5950427315231994,-0.6101852743061762,373,train,-0.5950427315231994,True
18,24,5,-17.258505449089128,-0.6145678743020377,-0.6176698877150748,365,train,-0.6145678743020377,True
18,30,0,-7.794329367646444,-0.3004191644269664,-0.3004191644269665,252,train,-0.3004191644269664,True
18,30,1,-10.458875576054735,-0.40070000846620496,-0.4352479390292302,248,train,-0.40070000846620496,True
18,30,2,-14.030850387970727,-0.3759149455560172,-0.39195001306924726,246,train,-0.3759149455560172,True
18,30,3,-19.836740561585042,-0.4150133754169669,-0.4239599010170553,252,train,-0.4150133754169669,True
18,30,4,-16.299471530846017,-0.5033060755584962,-0.5200146135965897,265,train,-0.5033060755584962,True
18,30,5,-12.86798283180181,-0.5080525115856345,-0.5132757127415191,250,train,-0.5080525115856345,True
18,42,0,-4.871313858084112,-0.20255674429867315,-0.20255674429867776,186,train,-0.20255674429867315,True
18,42,1,-7.3241605520569415,-0.3016031609235098,-0.35995829069640883,173,train,-0.3016031609235098,True
18,42,2,-10.014957936888239,-0.28528440213938927,-0.3066820247883304,175,train,-0.28528440213938927,True
18,42,3,-16.796618361046807,-0.3611895197520226,-0.3689590424123186,184,train,-0.3611895197520226,True
18,42,4,-12.684127259589214,-0.4098384575694149,-0.43617251067215224,181,train,-0.4098384575694149,True
18,42,5,-9.206642484941437,-0.3921136439631033,-0.4004651832018602,187,train,-0.3921136439631033,True
18,54,0,-2.350756181178833,-0.10965886881282642,-0.16722977840935016,146,train,-0.10965886881282642,True
18,54,1,-7.317148279569553,-0.30354990099571794,-0.360179485636111,150,train,-0.30354990099571794,True
18,54,2,-6.793489214137412,-0.20460479194292758,-0.23380480585237995,134,train,-0.20460479194292758,True
18,54,3,-12.975077110579733,-0.29082789588826313,-0.2996899201614134,150,train,-0.29082789588826313,True
18,54,4,-10.371458818411702,-0.3495998319809256,-0.37513851849757884,151,train,-0.3495998319809256,True
18,54,5,-5.949961934078943,-0.27125816904090866,-0.277135857186001,144,train,-0.27125816904090866,True
18,78,0,-1.6463793967921714,-0.08052508440142606,-0.1609637003359059,116,train,-0.08052508440142606,True
18,78,1,-5.50930211379532,-0.2384045432195103,-0.3151069449893118,126,train,-0.2384045432195103,True
18,78,2,-6.661958211714847,-0.19814633011032481,-0.23189322017287994,112,train,-0.19814633011032481,True
18,78,3,-10.569523733123745,-0.24543334911300405,-0.2573316784352946,115,train,-0.24543334911300405,True
18,78,4,-8.11923145118412,-0.2827610485530043,-0.30600568828328445,116,train,-0.2827610485530043,True
18,78,5,-6.216918591573984,-0.27903716762580666,-0.28903538399587536,116,train,-0.27903716762580666,True
18,102,0,-0.18178215860927105,-0.017185519929027122,-0.14184250361466166,94,train,-0.017185519929027122,True
18,102,1,-3.433740548249829,-0.1590389359789782,-0.2710687843991272,101,train,-0.1590389359789782,True
18,102,2,-5.2073613676860555,-0.16262022703585377,-0.19809785437804905,96,train,-0.16262022703585377,True
18,102,3,-6.904174602721013,-0.16805517807533396,-0.1795229028861024,88,train,-0.16805517807533396,True
18,102,4,-5.5064088648549046,-0.1998781987429005,-0.2390463727380714,100,train,-0.1998781987429005,True
18,102,5,-4.939733863309743,-0.22582513647756502,-0.24391543911368418,96,train,-0.22582513647756502,True
18,150,0,0.0059865213131914865,-0.008818131852691863,-0.16421672727678505,75,train,-0.008818131852691863,True
18,150,1,-2.1652692473761883,-0.1052182410294522,-0.2248227708531031,72,train,-0.1052182410294522,True
18,150,2,-2.5888990730050865,-0.08450873117906837,-0.135071853041831,76,train,-0.08450873117906837,True
18,150,3,-6.090584650944454,-0.14407411173588194,-0.14890933789981575,67,train,-0.14407411173588194,True
18,150,4,-4.539200647409606,-0.16138593755007674,-0.2011696417880895,68,train,-0.16138593755007674,True
18,150,5,-1.8697516198382576,-0.09543719613565042,-0.1650267337560598,66,train,-0.09543719613565042,True
24,30,0,-9.883733349161886,-0.3662660124789157,-0.36709517176050965,305,train,-0.3662660124789157,True
24,30,1,-12.504398551436731,-0.45751186460805776,-0.49108633888961317,310,train,-0.45751186460805776,True
24,30,2,-17.932556921194237,-0.4497656577374878,-0.4605155246520569,308,train,-0.4497656577374878,True
24,30,3,-25.986863926767167,-0.5067788886247849,-0.5141607933054821,308,train,-0.5067788886247849,True
24,30,4,-17.321022422401775,-0.5300008226148154,-0.5440471449682331,328,train,-0.5300008226148154,True
24,30,5,-16.10022064607057,-0.5875054017302059,-0.5931085159992955,304,train,-0.5875054017302059,True
24,42,0,-4.836056318045099,-0.20339816850822034,-0.20403176708111137,179,train,-0.20339816850822034,True
24,42,1,-9.18024329953132,-0.36809869891623986,-0.40313162926347024,176,train,-0.36809869891623986,True
24,42,2,-9.267952496705862,-0.2662384698817468,-0.2925507618664378,170,train,-0.2662384698817468,True
24,42,3,-16.472975920144606,-0.35206362640810734,-0.3596739036088179,185,train,-0.35206362640810734,True
24,42,4,-12.062532171005227,-0.3936004297832669,-0.4170852974502933,181,train,-0.3936004297832669,True
24,42,5,-8.722888627533587,-0.37452018126208714,-0.38069686941714553,182,train,-0.37452018126208714,True
24,54,0,-2.590975799228743,-0.1199709391045252,-0.16421061168227902,138,train,-0.1199709391045252,True
24,54,1,-6.740074067522446,-0.28734196685328106,-0.3535662180066075,145,train,-0.28734196685328106,True
24,54,2,-6.744748436988115,-0.20204946694660886,-0.22938843891624283,128,train,-0.20204946694660886,True
24,54,3,-12.71268251639241,-0.2853216281870226,-0.2934798984418361,140,train,-0.2853216281870226,True
24,54,4,-8.380028924707345,-0.2940329863243128,-0.3286168241091645,143,train,-0.2940329863243128,True
24,54,5,-5.5390460810182764,-0.25937131794009066,-0.2724187299936043,135,train,-0.25937131794009066,True
24,78,0,-0.7937411039789147,-0.04468298601067988,-0.15220110041995794,105,train,-0.04468298601067988,True
24,78,1,-3.3990520478408204,-0.1578847267590145,-0.2725018019766279,106,train,-0.1578847267590145,True
24,78,2,-4.799717873125409,-0.14926685844105725,-0.18857115840700012,100,train,-0.14926685844105725,True
24,78,3,-9.169613880894625,-0.21605243131554244,-0.2267004531422402,110,train,-0.21605243131554244,True
24,78,4,-6.232135437838681,-0.2297321116136602,-0.26011432298893045,101,train,-0.2297321116136602,True
24,78,5,-5.426051310155934,-0.25125434121256807,-0.26163784611260577,103,train,-0.25125434121256807,True
24,102,0,0.4647665087562092,0.012975183005625012,-0.14543043103665854,83,train,0.012975183005625012,True
24,102,1,-1.9445390298705358,-0.09715534406370387,-0.2414782835167627,87,train,-0.09715534406370387,True
24,102,2,-5.639851220257048,-0.17359024337042878,-0.21338962121079874,89,train,-0.17359024337042878,True
24,102,3,-7.062542651117701,-0.17022772964562877,-0.1829177096574811,87,train,-0.17022772964562877,True
24,102,4,-2.9690309802722643,-0.11697453106755426,-0.1533541343094298,76,train,-0.11697453106755426,True
24,102,5,-3.6565644636412964,-0.17461638953303862,-0.1913382299492158,89,train,-0.17461638953303862,True
24,150,0,0.08353405932911738,-0.005267534564208858,-0.14527339337510037,68,train,-0.005267534564208858,True
24,150,1,-0.6285545729210399,-0.038065237582904955,-0.16824742529601122,58,train,-0.038065237582904955,True
24,150,2,-3.485128899109428,-0.11088853243400218,-0.15622827959316476,67,train,-0.11088853243400218,True
24,150,3,-6.295550022847951,-0.1492128307048906,-0.15319823462290538,65,train,-0.1492128307048906,True
24,150,4,-3.863139196917685,-0.13797808990267083,-0.1986864188947215,57,train,-0.13797808990267083,True
24,150,5,-0.4250046266141321,-0.02949895319651921,-0.1378134730514491,61,train,-0.02949895319651921,True
30,42,0,-5.09653820371293,-0.21437656730747018,-0.21554730048675297,209,train,-0.21437656730747018,True
30,42,1,-10.167310972869217,-0.3979680580267284,-0.44575187324652255,204,train,-0.3979680580267284,True
30,42,2,-11.036960772029438,-0.30978367123375417,-0.3316433032168956,190,train,-0.30978367123375417,True
30,42,3,-16.799082736663266,-0.36258343312430996,-0.3709681105389945,198,train,-0.36258343312430996,True
30,42,4,-13.403144870416885,-0.4336011279520608,-0.45613490357969755,214,train,-0.4336011279520608,True
30,42,5,-9.081546287302299,-0.38722534379840645,-0.39303451839182446,201,train,-0.38722534379840645,True
30,54,0,-2.155873584422607,-0.10237712693814557,-0.14729585617672192,141,train,-0.10237712693814557,True
30,54,1,-7.35717267507551,-0.30802028908439355,-0.3608748363752642,139,train,-0.30802028908439355,True
30,54,2,-7.256977230621191,-0.21592278781326535,-0.24572625607797993,138,train,-0.21592278781326535,True
30,54,3,-13.560102132919686,-0.30348795071536516,-0.312442489369937,143,train,-0.30348795071536516,True
30,54,4,-8.440028127104899,-0.30272060289464503,-0.3280540549980083,145,train,-0.30272060289464503,True
30,54,5,-5.1581411069415,-0.241733630181702,-0.2554983564009582,136,train,-0.241733630181702,True
30,78,0,-0.2508272578767453,-0.02046893841465612,-0.1311379516017952,99,train,-0.02046893841465612,True
30,78,1,-4.271684299595809,-0.1935269888843326,-0.29241317557475,100,train,-0.1935269888843326,True
30,78,2,-4.876116003502242,-0.15229581636739487,-0.19274669356805063,95,train,-0.15229581636739487,True
30,78,3,-8.075489468063319,-0.1909072266034749,-0.20225819944557977,96,train,-0.1909072266034749,True
30,78,4,-5.128031605720135,-0.194342952669894,-0.22327598073841837,94,train,-0.194342952669894,True
30,78,5,-5.314127766808588,-0.2496497832695609,-0.25769913561823676,100,train,-0.2496497832695609,True
30,102,0,-0.1932761339645886,-0.01817663843042385,-0.15962638982172594,82,train,-0.01817663843042385,True
30,102,1,-1.8698072037803664,-0.09411150786213535,-0.21347396957329634,76,train,-0.09411150786213535,True
30,102,2,-6.019390951607041,-0.183702234078743,-0.22080281308794247,85,train,-0.183702234078743,True
30,102,3,-5.434977721611019,-0.13195964928038337,-0.1415577633171583,76,train,-0.13195964928038337,True
30,102,4,-2.917006374050067,-0.11410205822435546,-0.15552901324845603,72,train,-0.11410205822435546,True
30,102,5,-3.9383417697752185,-0.18907168026634746,-0.20805850228168365,80,train,-0.18907168026634746,True
30,150,0,-0.3248416314698082,-0.02456459087348992,-0.15205934820900835,63,train,-0.02456459087348992,True
30,150,1,-1.3633882278742295,-0.07116451119962017,-0.20780584520492174,56,train,-0.07116451119962017,True
