split_idx,fast_window,slow_window,train_start,validation_start,test_start,test_end,train_total_return,validation_total_return,test_total_return,train_validation_gap,validation_test_gap,test_vs_hold_gap,selection_metric
0,42,150,2024-10-19 07:10:00+00:00,2024-12-03 07:10:00+00:00,2024-12-18 07:10:00+00:00,2025-01-02 07:05:00+00:00,0.06288446633759111,0.08256201037463938,-0.1038780663430964,-0.019677544037048272,0.18644007671773577,-0.020949525758585302,total_return
1,54,150,2025-01-20 07:10:00+00:00,2025-03-06 07:10:00+00:00,2025-03-21 07:10:00+00:00,2025-04-05 07:05:00+00:00,-0.06209400684854711,-0.05780521750397793,-0.029176592106617136,-0.00428878934456918,-0.02862862539736079,-0.019544796955887137,total_return
2,18,150,2025-04-23 07:10:00+00:00,2025-06-07 07:10:00+00:00,2025-06-22 07:10:00+00:00,2025-07-07 07:05:00+00:00,-0.08450873117906837,-0.035099910103643765,-0.03433780268333908,-0.04940882107542461,-0.0007621074203046849,-0.0930460680278677,total_return
3,30,102,2025-07-25 07:10:00+00:00,2025-09-08 07:10:00+00:00,2025-09-23 07:10:00+00:00,2025-10-08 07:05:00+00:00,-0.13195964928038337,-0.030706507145755835,0.03243889820163054,-0.10125314213462754,-0.06314540534738637,-0.043357012813678236,total_return
4,42,102,2025-10-26 07:10:00+00:00,2025-12-10 07:10:00+00:00,2025-12-25 07:10:00+00:00,2026-01-09 07:05:00+00:00,-0.08040609577986038,-0.026664659744911206,-0.008863958233425479,-0.05374143603494917,-0.017800701511485727,-0.04490632393348449,total_return
5,54,150,2026-01-27 07:10:00+00:00,2026-03-13 07:10:00+00:00,2026-03-28 07:10:00+00:00,2026-04-12 07:05:00+00:00,-0.11488078869634297,-0.0006308288997274758,-0.01843201261958882,-0.1142499597966155,0.017801183719861342,-0.09555804013148907,total_return
