split_idx,fast_window,slow_window,train_start,validation_start,test_start,test_end,train_total_return,validation_total_return,test_total_return,train_validation_gap,validation_test_gap,test_vs_hold_gap,selection_metric
0,90,138,2024-10-19 07:10:00+00:00,2024-12-03 07:10:00+00:00,2024-12-18 07:10:00+00:00,2025-01-02 07:05:00+00:00,0.14067664247209632,0.05297430076596106,-0.0971808897660435,0.08770234170613526,0.15015519053200455,-0.014252349181532398,total_return
1,90,138,2025-01-20 07:10:00+00:00,2025-03-06 07:10:00+00:00,2025-03-21 07:10:00+00:00,2025-04-05 07:05:00+00:00,-0.14355952239788064,-0.04960768908383659,-0.02700994010944112,-0.09395183331404405,-0.022597748974395468,-0.01737814495871112,total_return
2,12,138,2025-04-23 07:10:00+00:00,2025-06-07 07:10:00+00:00,2025-06-22 07:10:00+00:00,2025-07-07 07:05:00+00:00,-0.10468710548576746,-0.029347639843036063,-0.03273918807376435,-0.07533946564273139,0.0033915482307282883,-0.09144745341829297,total_return
3,30,90,2025-07-25 07:10:00+00:00,2025-09-08 07:10:00+00:00,2025-09-23 07:10:00+00:00,2025-10-08 07:05:00+00:00,-0.14896788200936203,-0.034446488925529706,0.038084572010376745,-0.11452139308383233,-0.07253106093590644,-0.03771133900493203,total_return
4,42,90,2025-10-26 07:10:00+00:00,2025-12-10 07:10:00+00:00,2025-12-25 07:10:00+00:00,2026-01-09 07:05:00+00:00,-0.12324486298791203,-0.028160880232646263,-0.009130135472468168,-0.09508398275526576,-0.019030744760178096,-0.04517250117252718,total_return
5,30,138,2026-01-27 07:10:00+00:00,2026-03-13 07:10:00+00:00,2026-03-28 07:10:00+00:00,2026-04-12 07:05:00+00:00,-0.040660373200511114,-0.00879483917986397,-0.01921863634014164,-0.031865534020647145,0.010423797160277672,-0.09634466385204188,total_return
