fast_window,slow_window,split_idx,sharpe_ratio,total_return,max_drawdown,trade_count,dataset,selection_score,eligible_for_selection
6,12,0,-22.332852063920168,-0.6449382508137511,-0.6450341945877377,595,train,-0.6449382508137511,True
6,12,1,-28.035295254449306,-0.771559394492436,-0.7824610795051324,629,train,-0.771559394492436,True
6,12,2,-34.58817181679087,-0.6820209113040158,-0.6820209113040133,605,train,-0.6820209113040158,True
6,12,3,-42.53376619070913,-0.7274945245319793,-0.729489180060698,617,train,-0.7274945245319793,True
6,12,4,-30.31312657139652,-0.7389475139589315,-0.7440884101227629,627,train,-0.7389475139589315,True
6,12,5,-22.37740295142044,-0.7283973666917747,-0.7301882001777816,602,train,-0.7283973666917747,True
6,18,0,-17.064719841353515,-0.5459046109337917,-0.5459046109337908,435,train,-0.5459046109337917,True
6,18,1,-18.82050562619694,-0.6162232163887752,-0.640444504013481,433,train,-0.6162232163887752,True
6,18,2,-23.296317593992757,-0.5354407778588386,-0.5360447714819458,416,train,-0.5354407778588386,True
6,18,3,-30.484524865021058,-0.593727045835101,-0.600445051705271,426,train,-0.593727045835101,True
6,18,4,-23.591266789458814,-0.6427986250931556,-0.6498026410981624,444,train,-0.6427986250931556,True
6,18,5,-15.743437562005544,-0.5916275265499074,-0.5942615125585063,430,train,-0.5916275265499074,True
6,30,0,-9.017146989759143,-0.3403228696030914,-0.3403228696030919,297,train,-0.3403228696030914,True
6,30,1,-13.674552649633954,-0.48950395094921895,-0.5158722130748337,303,train,-0.48950395094921895,True
6,30,2,-15.81218591923309,-0.40748332810536236,-0.41941805563581314,288,train,-0.40748332810536236,True
6,30,3,-26.02206519188683,-0.5185862344254222,-0.5259341460543587,320,train,-0.5185862344254222,True
6,30,4,-17.395845904951045,-0.5295111263756881,-0.5491619903822529,325,train,-0.5295111263756881,True
6,30,5,-11.995465625975639,-0.4830459264706873,-0.48640487596455395,301,train,-0.4830459264706873,True
6,42,0,-6.197922490075695,-0.25111450170608557,-0.251468950775517,243,train,-0.25111450170608557,True
6,42,1,-11.623973159140128,-0.433272640962737,-0.47828012455058866,257,train,-0.433272640962737,True
6,42,2,-13.11639519881659,-0.3482699025200592,-0.3632597593807847,231,train,-0.3482699025200592,True
6,42,3,-22.23863944436032,-0.4634861197032959,-0.47134860389795485,251,train,-0.4634861197032959,True
6,42,4,-15.367063418830202,-0.4763453034466993,-0.5063645211166006,259,train,-0.4763453034466993,True
6,42,5,-10.56240250278596,-0.44143439376266824,-0.4414891778720158,248,train,-0.44143439376266824,True
6,66,0,-5.119072133402104,-0.2148946422129212,-0.21489464221291787,190,train,-0.2148946422129212,True
6,66,1,-10.10933108106067,-0.3856677512029811,-0.42881092311769065,211,train,-0.3856677512029811,True
6,66,2,-8.798835067379498,-0.25002932776794307,-0.2759482906739954,175,train,-0.25002932776794307,True
6,66,3,-19.944260449137673,-0.4158640384601625,-0.42279920365638457,209,train,-0.4158640384601625,True
6,66,4,-10.350545585640564,-0.34689625944198293,-0.362300348765469,195,train,-0.34689625944198293,True
6,66,5,-7.765797420979437,-0.34434264312580526,-0.350330030376627,178,train,-0.34434264312580526,True
6,90,0,-5.187888039430742,-0.21972404607866122,-0.21972404607867224,176,train,-0.21972404607866122,True
6,90,1,-6.264171616179306,-0.2632183128824694,-0.3348999040228846,151,train,-0.2632183128824694,True
6,90,2,-10.450127393594752,-0.2908718335007069,-0.3143030780228132,166,train,-0.2908718335007069,True
6,90,3,-11.779002908902257,-0.2685758229356044,-0.2791107406265879,151,train,-0.2685758229356044,True
6,90,4,-8.199687952076406,-0.2853848629437314,-0.30595251863977135,162,train,-0.2853848629437314,True
6,90,5,-6.9987629603961325,-0.31181055964284965,-0.3245350352215639,153,train,-0.31181055964284965,True
6,138,0,-3.3532797298424923,-0.1544905849524207,-0.18716127632218948,135,train,-0.1544905849524207,True
6,138,1,-3.7210847333344432,-0.17018755040823236,-0.3237651131832119,116,train,-0.17018755040823236,True
6,138,2,-6.398223941416932,-0.19181228835719935,-0.20596144410762085,124,train,-0.19181228835719935,True
6,138,3,-9.995108452112188,-0.22644662347453162,-0.23212998382124084,112,train,-0.22644662347453162,True
6,138,4,-4.579956742840481,-0.1672392164700552,-0.19003296457622398,106,train,-0.1672392164700552,True
6,138,5,-4.977072520282867,-0.23003177544941308,-0.25133748632979025,124,train,-0.23003177544941308,True
12,18,0,-17.133619489956306,-0.5391295350637808,-0.5391295350637875,437,train,-0.5391295350637808,True
12,18,1,-18.10708609098072,-0.6050039262858176,-0.6264270832087138,439,train,-0.6050039262858176,True
12,18,2,-25.672204095434896,-0.5802440130740593,-0.5819193790601307,420,train,-0.5802440130740593,True
