split_idx,fast_window,slow_window,selection_status,candidate_count_used,train_rank,validation_rank,test_rank,train_start,train_end,validation_start,validation_end,test_start,test_end,train_bars,validation_bars,test_bars,train_sharpe_ratio,train_total_return,train_max_drawdown,train_trade_count,validation_sharpe_ratio,validation_total_return,validation_max_drawdown,validation_trade_count,test_sharpe_ratio,test_total_return,test_max_drawdown,test_trade_count,train_hold_sharpe_ratio,train_hold_total_return,train_hold_max_drawdown,validation_hold_sharpe_ratio,validation_hold_total_return,validation_hold_max_drawdown,test_hold_sharpe_ratio,test_hold_total_return,test_hold_max_drawdown,train_validation_gap,validation_test_gap,test_vs_hold_gap
0,90,138,selected_from_train_eligible,6,1.0,1.0,2.0,2024-10-19 07:10:00+00:00,2024-12-03 07:05:00+00:00,2024-12-03 07:10:00+00:00,2024-12-18 07:05:00+00:00,2024-12-18 07:10:00+00:00,2025-01-02 07:05:00+00:00,12960,4320,4320,2.844877229412282,0.14067664247209632,-0.07994303786930412,51.0,3.4750277812257178,0.05297430076596106,-0.06988264587115367,15.0,-7.6231121361033125,-0.0971808897660435,-0.12266841461914324,19.0,5.610251614763815,0.3962826626934341,-0.08994226034372144,3.9160550406353964,0.08838325708385651,-0.09101673511863817,-3.621302876696766,-0.0829285405845111,-0.13006368890877207,0.08770234170613526,0.15015519053200455,-0.014252349181532398
1,90,138,selected_from_train_eligible,6,6.0,1.0,5.0,2025-01-20 07:10:00+00:00,2025-03-06 07:05:00+00:00,2025-03-06 07:10:00+00:00,2025-03-21 07:05:00+00:00,2025-03-21 07:10:00+00:00,2025-04-05 07:05:00+00:00,12960,4320,4320,-3.2260223956681995,-0.14355952239788064,-0.26601730717298044,52.0,-2.9478243830735247,-0.04960768908383659,-0.09726129615836654,21.0,-1.8241981734831363,-0.02700994010944112,-0.07707139287352982,15.0,-2.018596263250727,-0.1599336491056108,-0.27983631869939096,-3.10541333876373,-0.08370026919645226,-0.16249886337593522,-0.33461434915895216,-0.00963179515073,-0.08209599921835442,-0.09395183331404405,-0.022597748974395468,-0.01737814495871112
2,12,138,selected_from_train_eligible,6,3.0,2.0,5.0,2025-04-23 07:10:00+00:00,2025-06-07 07:05:00+00:00,2025-06-07 07:10:00+00:00,2025-06-22 07:05:00+00:00,2025-06-22 07:10:00+00:00,2025-07-07 07:05:00+00:00,12960,4320,4320,-3.255795852473067,-0.10468710548576746,-0.14462979164716327,90.0,-3.328184362610964,-0.029347639843036063,-0.07001662132075603,23.0,-3.610139503176334,-0.03273918807376435,-0.07217224741441464,31.0,2.767733510182611,0.1217027255471362,-0.10221366126038478,-1.4836001428057268,-0.022448914818135563,-0.08561601302929289,4.8197837091653986,0.05870826534452862,-0.04263230091690129,-0.07533946564273139,0.0033915482307282883,-0.09144745341829297
3,30,90,selected_from_train_eligible,6,4.0,2.0,7.0,2025-07-25 07:10:00+00:00,2025-09-08 07:05:00+00:00,2025-09-08 07:10:00+00:00,2025-09-23 07:05:00+00:00,2025-09-23 07:10:00+00:00,2025-10-08 07:05:00+00:00,12960,4320,4320,-6.214406059865126,-0.14896788200936203,-0.16157608657889588,86.0,-5.242873382679231,-0.034446488925529706,-0.057084339142470575,26.0,3.9261977624552147,0.038084572010376745,-0.03865165698384865,25.0,-0.8469092062613258,-0.03836090063196923,-0.13633996580258612,1.4864071171202544,0.014053518724752734,-0.05326465743049469,6.032451715276538,0.07579591101530878,-0.04579472543161123,-0.11452139308383233,-0.07253106093590644,-0.03771133900493203
4,42,90,selected_from_train_eligible,6,1.0,1.0,3.0,2025-10-26 07:10:00+00:00,2025-12-10 07:05:00+00:00,2025-12-10 07:10:00+00:00,2025-12-25 07:05:00+00:00,2025-12-25 07:10:00+00:00,2026-01-09 07:05:00+00:00,12960,4320,4320,-3.1333384101430326,-0.12324486298791203,-0.16356585180796834,80.0,-1.8135931874366573,-0.028160880232646263,-0.056746806730254784,27.0,-0.8747021181079737,-0.009130135472468168,-0.043441611731138474,27.0,-2.7193614022101498,-0.17171616931546715,-0.30263138737099726,-2.7016232659290114,-0.05266012390472576,-0.10364870122422654,2.9456154886103465,0.03604236570005901,-0.05609765133422695,-0.09508398275526576,-0.019030744760178096,-0.04517250117252718
5,30,138,selected_from_train_eligible,6,1.0,1.0,3.0,2026-01-27 07:10:00+00:00,2026-03-13 07:05:00+00:00,2026-03-13 07:10:00+00:00,2026-03-28 07:05:00+00:00,2026-03-28 07:10:00+00:00,2026-04-12 07:05:00+00:00,12960,4320,4320,-0.6553365700959598,-0.040660373200511114,-0.17152402611615725,64.0,-0.45030851255678456,-0.00879483917986397,-0.054121217154806445,18.0,-1.4231764567466507,-0.01921863634014164,-0.05321426325330114,22.0,-2.312289571079462,-0.19319334090907625,-0.33588698467930933,-3.4055241903685736,-0.07097172994372261,-0.13608972552407683,4.572456674716441,0.07712602751190024,-0.04961135343992218,-0.031865534020647145,0.010423797160277672,-0.09634466385204188
