split_idx,fast_window,slow_window,selection_status,candidate_count_used,train_rank,validation_rank,test_rank,train_start,train_end,validation_start,validation_end,test_start,test_end,train_bars,validation_bars,test_bars,train_sharpe_ratio,train_total_return,train_max_drawdown,train_trade_count,validation_sharpe_ratio,validation_total_return,validation_max_drawdown,validation_trade_count,test_sharpe_ratio,test_total_return,test_max_drawdown,test_trade_count,train_hold_sharpe_ratio,train_hold_total_return,train_hold_max_drawdown,validation_hold_sharpe_ratio,validation_hold_total_return,validation_hold_max_drawdown,test_hold_sharpe_ratio,test_hold_total_return,test_hold_max_drawdown,train_validation_gap,validation_test_gap,test_vs_hold_gap
0,24,216,selected_from_train_eligible,8,6.0,11.0,12.0,2026-02-12 00:00:00+00:00,2026-03-18 23:55:00+00:00,2026-03-19 00:00:00+00:00,2026-03-28 23:55:00+00:00,2026-03-29 00:00:00+00:00,2026-04-07 23:55:00+00:00,10080,2880,2880,1.7427115609469488,0.058160131696971124,-0.07853938769993207,34.0,-1.355786589969493,-0.013854500338802153,-0.04003216819260236,9.0,1.491486356438182,0.011217703488900497,-0.0703526220267382,12.0,1.4139800265726918,0.06114932566739526,-0.11405790158099782,-5.022160109841247,-0.06941784074432997,-0.08838067330974808,7.091288542670192,0.08210071580129762,-0.04842971804247209,3.0984981509164418,-2.847272946407675,-5.59980218623201
1,120,216,selected_from_train_eligible,8,8.0,6.0,18.0,2026-02-13 10:05:00+00:00,2026-03-20 10:00:00+00:00,2026-03-20 10:05:00+00:00,2026-03-30 10:00:00+00:00,2026-03-30 10:05:00+00:00,2026-04-09 10:00:00+00:00,10080,2880,2880,0.07511524248972683,-0.00377112142130602,-0.1129284719264051,22.0,-0.8778640620178045,-0.009219657054123786,-0.054898019250378516,6.0,0.6100345413752314,0.0036417812549780137,-0.030080611813396052,8.0,1.2873186885781749,0.05399140046965294,-0.1140579015809976,-3.0538611424029956,-0.04342866713473529,-0.09519764728826974,5.328941398368837,0.05952515552323462,-0.04842971804246954,0.9529793045075313,-1.487898603393036,-4.7189068569936055
2,192,216,selected_from_train_eligible,8,1.0,1.0,27.0,2026-02-14 20:15:00+00:00,2026-03-21 20:10:00+00:00,2026-03-21 20:15:00+00:00,2026-03-31 20:10:00+00:00,2026-03-31 20:15:00+00:00,2026-04-10 20:10:00+00:00,10080,2880,2880,1.7359044623214661,0.05683151741520169,-0.0627066737399784,33.0,-0.32766496828899194,-0.0033852170313653004,-0.03957591648923131,9.0,0.36018326249460275,0.0016613274413558657,-0.03409205809761873,12.0,0.4107676874607141,0.007397811903264824,-0.11405790158099882,-2.1394913747884288,-0.03314298101749569,-0.09519764728826874,6.949465682656451,0.07603626306695946,-0.04842971804246976,2.063569430610458,-0.6878482307835947,-6.589282420161848
3,192,216,selected_from_train_eligible,8,3.0,1.0,31.0,2026-02-16 06:20:00+00:00,2026-03-23 06:15:00+00:00,2026-03-23 06:20:00+00:00,2026-04-02 06:15:00+00:00,2026-04-02 06:20:00+00:00,2026-04-12 06:15:00+00:00,10080,2880,2880,1.8186245399548058,0.05897411100656075,-0.06244213426452527,30.0,-0.3007471071095698,-0.0031805996769843432,-0.029970025998008798,9.0,-3.338551803087617,-0.026940966122926624,-0.056531483276231365,12.0,0.33910252743916003,0.0037128182094321575,-0.11199148509855483,-1.6966000977200624,-0.027064991694877676,-0.09519764728827163,7.094949993246874,0.07422886217559767,-0.03450825524885426,2.1193716470643755,3.037804695978047,-10.433501796334491
