split_idx,fast_window,slow_window,train_start,validation_start,test_start,test_end,train_total_return,validation_total_return,test_total_return,train_validation_gap,validation_test_gap,test_vs_hold_gap,selection_metric
0,96,144,2024-10-19 07:15:00+00:00,2024-11-30 07:15:00+00:00,2024-12-18 07:15:00+00:00,2025-01-02 07:10:00+00:00,0.20069097011513679,0.03800679071081277,-0.08484724011046933,0.162684179404324,0.1228540308212821,-0.00288972917056958,total_return
1,36,144,2025-01-20 07:15:00+00:00,2025-03-03 07:15:00+00:00,2025-03-21 07:15:00+00:00,2025-04-05 07:10:00+00:00,-0.09515230179358115,-0.07226326121635873,-0.017222258950229958,-0.022889040577222422,-0.05504100226612878,-0.008981025211022712,total_return
2,24,144,2025-04-23 07:15:00+00:00,2025-06-04 07:15:00+00:00,2025-06-22 07:15:00+00:00,2025-07-07 07:10:00+00:00,-0.11056259784077178,-0.026478116707804474,-0.03231685628342609,-0.0840844811329673,0.005838739575621619,-0.09219653462659903,total_return
3,24,96,2025-07-25 07:15:00+00:00,2025-09-05 07:15:00+00:00,2025-09-23 07:15:00+00:00,2025-10-08 07:10:00+00:00,-0.12101453909084398,-0.04824455782344501,0.009667694961656025,-0.07276998126739898,-0.05791225278510103,-0.06588922170036039,total_return
4,36,144,2025-10-26 07:15:00+00:00,2025-12-07 07:15:00+00:00,2025-12-25 07:15:00+00:00,2026-01-09 07:10:00+00:00,-0.12885305289962867,-0.028862403285151005,-0.006423255598003266,-0.09999064961447766,-0.02243914768714774,-0.04265207154273219,total_return
5,36,144,2026-01-27 07:15:00+00:00,2026-03-10 07:15:00+00:00,2026-03-28 07:15:00+00:00,2026-04-12 07:10:00+00:00,-0.07309157529028028,0.02097033608675224,-0.017245177747338403,-0.09406191137703251,0.03821551383409064,-0.09397543208553225,total_return
