fast_window,slow_window,split_idx,sharpe_ratio,total_return,max_drawdown,trade_count,dataset,selection_score,eligible_for_selection
18,24,0,-12.117829663094188,-0.42205279776001575,-0.4220527977600148,362,train,-12.117829663094188,True
18,24,1,-15.612486303222651,-0.5322641841078762,-0.5492291630937763,356,train,-15.612486303222651,True
18,24,2,-20.234841247105468,-0.4977305833031055,-0.5004158959549088,347,train,-20.234841247105468,True
18,24,3,-29.47855260737683,-0.5577337953834313,-0.5612384842389848,367,train,-29.47855260737683,True
18,24,4,-20.96937169325587,-0.5950427315231994,-0.6101852743061762,373,train,-20.96937169325587,True
18,24,5,-17.258505449089128,-0.6145678743020377,-0.6176698877150748,365,train,-17.258505449089128,True
18,30,0,-7.794329367646444,-0.3004191644269664,-0.3004191644269665,252,train,-7.794329367646444,True
18,30,1,-10.458875576054735,-0.40070000846620496,-0.4352479390292302,248,train,-10.458875576054735,True
18,30,2,-14.030850387970727,-0.3759149455560172,-0.39195001306924726,246,train,-14.030850387970727,True
18,30,3,-19.836740561585042,-0.4150133754169669,-0.4239599010170553,252,train,-19.836740561585042,True
18,30,4,-16.299471530846017,-0.5033060755584962,-0.5200146135965897,265,train,-16.299471530846017,True
18,30,5,-12.86798283180181,-0.5080525115856345,-0.5132757127415191,250,train,-12.86798283180181,True
18,36,0,-4.60300206272084,-0.19231783904732913,-0.20546795174255517,203,train,-4.60300206272084,True
18,36,1,-8.945600736836292,-0.3565611643893428,-0.39249790276754803,206,train,-8.945600736836292,True
18,36,2,-9.82590179067945,-0.28182751778242243,-0.3062067565578842,191,train,-9.82590179067945,True
18,36,3,-16.053178680688834,-0.3557086589803838,-0.3662335803812997,206,train,-16.053178680688834,True
18,36,4,-13.81672818041293,-0.44659623229925716,-0.46398209228761844,211,train,-13.81672818041293,True
18,36,5,-12.207317600873322,-0.4833046999638585,-0.48753787655017367,208,train,-12.207317600873322,True
18,42,0,-4.871313858084112,-0.20255674429867315,-0.20255674429867776,186,train,-4.871313858084112,True
18,42,1,-7.3241605520569415,-0.3016031609235098,-0.35995829069640883,173,train,-7.3241605520569415,True
18,42,2,-10.014957936888239,-0.28528440213938927,-0.3066820247883304,175,train,-10.014957936888239,True
18,42,3,-16.796618361046807,-0.3611895197520226,-0.3689590424123186,184,train,-16.796618361046807,True
18,42,4,-12.684127259589214,-0.4098384575694149,-0.43617251067215224,181,train,-12.684127259589214,True
18,42,5,-9.206642484941437,-0.3921136439631033,-0.4004651832018602,187,train,-9.206642484941437,True
18,90,0,-0.10165702553686033,-0.013407844160608534,-0.13776872661193618,99,train,-0.10165702553686033,True
18,90,1,-3.989320783775529,-0.18072281593021272,-0.27017137569347716,108,train,-3.989320783775529,True
18,90,2,-6.342069188327254,-0.19148089943263188,-0.2288996580963335,107,train,-6.342069188327254,True
18,90,3,-8.199673158244803,-0.19526744588414202,-0.2057244864017157,99,train,-8.199673158244803,True
18,90,4,-6.5980691261314535,-0.23528048505836752,-0.27079018496478047,102,train,-6.5980691261314535,True
18,90,5,-4.454554915348179,-0.2078190093443734,-0.22215979831628452,101,train,-4.454554915348179,True
18,96,0,0.0661479700858633,-0.005720705699429346,-0.1379815422994004,95,train,0.0661479700858633,True
18,96,1,-4.209875695383059,-0.18893762658282787,-0.2883966346041664,103,train,-4.209875695383059,True
18,96,2,-5.430920523751307,-0.16706520806300013,-0.20652627060360296,101,train,-5.430920523751307,True
18,96,3,-7.1702428631336215,-0.1733919479321819,-0.18394519903033468,94,train,-7.1702428631336215,True
18,96,4,-5.707959185452623,-0.20783649901050866,-0.24863123266472997,99,train,-5.707959185452623,True
18,96,5,-5.306976413165185,-0.2407936904635284,-0.25379658438812225,97,train,-5.306976413165185,True
18,102,0,-0.18178215860927105,-0.017185519929027122,-0.14184250361466166,94,train,-0.18178215860927105,True
18,102,1,-3.433740548249829,-0.1590389359789782,-0.2710687843991272,101,train,-3.433740548249829,True
18,102,2,-5.2073613676860555,-0.16262022703585377,-0.19809785437804905,96,train,-5.2073613676860555,True
18,102,3,-6.904174602721013,-0.16805517807533396,-0.1795229028861024,88,train,-6.904174602721013,True
18,102,4,-5.5064088648549046,-0.1998781987429005,-0.2390463727380714,100,train,-5.5064088648549046,True
18,102,5,-4.939733863309743,-0.22582513647756502,-0.24391543911368418,96,train,-4.939733863309743,True
18,138,0,-0.3563148516231704,-0.025698801579954533,-0.17976382342124453,78,train,-0.3563148516231704,True
18,138,1,-1.3353315482786847,-0.0697708757799636,-0.2127868752349673,75,train,-1.3353315482786847,True
18,138,2,-2.9924869388522994,-0.09692630736906926,-0.14553602530485565,77,train,-2.9924869388522994,True
18,138,3,-5.4617843505482995,-0.13271800431288103,-0.13711024990973286,71,train,-5.4617843505482995,True
18,138,4,-3.844930827408576,-0.13986213393283334,-0.19208654603793918,66,train,-3.844930827408576,True
18,138,5,-2.023017810128497,-0.10291031084465851,-0.14962431872678128,75,train,-2.023017810128497,True
18,144,0,0.07869082120092712,-0.005365524517432278,-0.16298052403540253,74,train,0.07869082120092712,True
18,144,1,-2.356558108703104,-0.11335853835280636,-0.24401492404572034,78,train,-2.356558108703104,True
18,144,2,-3.1383471768197304,-0.10097003909652176,-0.14434020979798878,78,train,-3.1383471768197304,True
18,144,3,-5.659704653641919,-0.13604649630443486,-0.1400935762356792,67,train,-5.659704653641919,True
18,144,4,-4.577896169802083,-0.16285944065828756,-0.20813645016638982,69,train,-4.577896169802083,True
18,144,5,-2.425760243524969,-0.12023329631654633,-0.16467154395356942,70,train,-2.425760243524969,True
18,150,0,0.0059865213131914865,-0.008818131852691863,-0.16421672727678505,75,train,0.0059865213131914865,True
18,150,1,-2.1652692473761883,-0.1052182410294522,-0.2248227708531031,72,train,-2.1652692473761883,True
18,150,2,-2.5888990730050865,-0.08450873117906837,-0.135071853041831,76,train,-2.5888990730050865,True
18,150,3,-6.090584650944454,-0.14407411173588194,-0.14890933789981575,67,train,-6.090584650944454,True
18,150,4,-4.539200647409606,-0.16138593755007674,-0.2011696417880895,68,train,-4.539200647409606,True
18,150,5,-1.8697516198382576,-0.09543719613565042,-0.1650267337560598,66,train,-1.8697516198382576,True
24,30,0,-9.883733349161886,-0.3662660124789157,-0.36709517176050965,305,train,-9.883733349161886,True
24,30,1,-12.504398551436731,-0.45751186460805776,-0.49108633888961317,310,train,-12.504398551436731,True
24,30,2,-17.932556921194237,-0.4497656577374878,-0.4605155246520569,308,train,-17.932556921194237,True
24,30,3,-25.986863926767167,-0.5067788886247849,-0.5141607933054821,308,train,-25.986863926767167,True
24,30,4,-17.321022422401775,-0.5300008226148154,-0.5440471449682331,328,train,-17.321022422401775,True
24,30,5,-16.10022064607057,-0.5875054017302059,-0.5931085159992955,304,train,-16.10022064607057,True
24,36,0,-6.7825157916146885,-0.2701553336903953,-0.2706080336541383,219,train,-6.7825157916146885,True
24,36,1,-9.788200858131365,-0.38691392195736546,-0.4317309842960345,219,train,-9.788200858131365,True
24,36,2,-12.072917941957597,-0.33418319882511865,-0.35832585624933744,210,train,-12.072917941957597,True
24,36,3,-17.716096602537114,-0.37646526383130924,-0.3843308408336329,227,train,-17.716096602537114,True
24,36,4,-13.824784609400226,-0.4507304971164293,-0.46153796355807886,230,train,-13.824784609400226,True
24,36,5,-12.64528096558981,-0.49436256763906383,-0.5012820991129983,219,train,-12.64528096558981,True
24,42,0,-4.836056318045099,-0.20339816850822034,-0.20403176708111137,179,train,-4.836056318045099,True
24,42,1,-9.18024329953132,-0.36809869891623986,-0.40313162926347024,176,train,-9.18024329953132,True
24,42,2,-9.267952496705862,-0.2662384698817468,-0.2925507618664378,170,train,-9.267952496705862,True
24,42,3,-16.472975920144606,-0.35206362640810734,-0.3596739036088179,185,train,-16.472975920144606,True
24,42,4,-12.062532171005227,-0.3936004297832669,-0.4170852974502933,181,train,-12.062532171005227,True
24,42,5,-8.722888627533587,-0.37452018126208714,-0.38069686941714553,182,train,-8.722888627533587,True
24,90,0,0.4100986423311701,0.010364769103169011,-0.12747569822491056,91,train,0.4100986423311701,True
24,90,1,-3.9274034002402,-0.17917708574016852,-0.2797173279722711,93,train,-3.9274034002402,True
