split_idx,fast_window,slow_window,selection_status,candidate_count_used,train_rank,validation_rank,test_rank,train_start,train_end,validation_start,validation_end,test_start,test_end,train_bars,validation_bars,test_bars,train_sharpe_ratio,train_total_return,train_max_drawdown,train_trade_count,validation_sharpe_ratio,validation_total_return,validation_max_drawdown,validation_trade_count,test_sharpe_ratio,test_total_return,test_max_drawdown,test_trade_count,train_hold_sharpe_ratio,train_hold_total_return,train_hold_max_drawdown,validation_hold_sharpe_ratio,validation_hold_total_return,validation_hold_max_drawdown,test_hold_sharpe_ratio,test_hold_total_return,test_hold_max_drawdown,train_validation_gap,validation_test_gap,test_vs_hold_gap
0,96,150,selected_from_train_eligible,8,2.0,2.0,5.0,2024-10-19 07:10:00+00:00,2024-12-03 07:05:00+00:00,2024-12-03 07:10:00+00:00,2024-12-18 07:05:00+00:00,2024-12-18 07:10:00+00:00,2025-01-02 07:05:00+00:00,12960,4320,4320,3.7059182074405075,0.19090021841745283,-0.07777168433517934,49.0,4.269980219217672,0.06598036987344062,-0.0608964549614216,13.0,-6.640951267875438,-0.08479757303975533,-0.1109012202319557,20.0,5.610251614763815,0.3962826626934341,-0.08994226034372144,3.9160550406353964,0.08838325708385651,-0.09101673511863817,-3.621302876696766,-0.0829285405845111,-0.13006368890877207,-0.5640620117771644,10.910931487093109,-3.019648391178672
1,36,150,selected_from_train_eligible,8,7.0,15.0,13.0,2025-01-20 07:10:00+00:00,2025-03-06 07:05:00+00:00,2025-03-06 07:10:00+00:00,2025-03-21 07:05:00+00:00,2025-03-21 07:10:00+00:00,2025-04-05 07:05:00+00:00,12960,4320,4320,-1.0180531396063217,-0.055687743197887926,-0.21179903567113245,54.0,-5.557580213842734,-0.0929428274249658,-0.13840412421358783,19.0,-1.564591177196307,-0.02163051580196384,-0.07134644038074212,15.0,-2.018596263250727,-0.1599336491056108,-0.27983631869939096,-3.10541333876373,-0.08370026919645226,-0.16249886337593522,-0.33461434915895216,-0.00963179515073,-0.08209599921835442,4.539527074236412,-3.9929890366464273,-1.2299768280373549
2,24,138,selected_from_train_eligible,8,7.0,4.0,33.0,2025-04-23 07:10:00+00:00,2025-06-07 07:05:00+00:00,2025-06-07 07:10:00+00:00,2025-06-22 07:05:00+00:00,2025-06-22 07:10:00+00:00,2025-07-07 07:05:00+00:00,12960,4320,4320,-2.920415874115969,-0.09523452822424394,-0.1412884760664347,69.0,-3.426886127526036,-0.029836871543625534,-0.06840973358224789,18.0,-5.321708148282097,-0.04733957953631989,-0.07269625534654878,27.0,2.767733510182611,0.1217027255471362,-0.10221366126038478,-1.4836001428057268,-0.022448914818135563,-0.08561601302929289,4.8197837091653986,0.05870826534452862,-0.04263230091690129,0.5064702534100669,1.8948220207560609,-10.141491857447495
3,30,102,selected_from_train_eligible,8,5.0,6.0,34.0,2025-07-25 07:10:00+00:00,2025-09-08 07:05:00+00:00,2025-09-08 07:10:00+00:00,2025-09-23 07:05:00+00:00,2025-09-23 07:10:00+00:00,2025-10-08 07:05:00+00:00,12960,4320,4320,-5.434977721611019,-0.13195964928038337,-0.1415577633171583,76.0,-4.704618151489789,-0.030706507145755835,-0.06078947687392555,24.0,3.351559337268412,0.03243889820163054,-0.04238970920740748,25.0,-0.8469092062613258,-0.03836090063196923,-0.13633996580258612,1.4864071171202544,0.014053518724752734,-0.05326465743049469,6.032451715276538,0.07579591101530878,-0.04579472543161123,-0.7303595701212302,-8.0561774887582,-2.6808923780081257
4,42,102,selected_from_train_eligible,8,2.0,4.0,9.0,2025-10-26 07:10:00+00:00,2025-12-10 07:05:00+00:00,2025-12-10 07:10:00+00:00,2025-12-25 07:05:00+00:00,2025-12-25 07:10:00+00:00,2026-01-09 07:05:00+00:00,12960,4320,4320,-1.9636396249076642,-0.08040609577986038,-0.13749368164463283,66.0,-1.6972318878027521,-0.026664659744911206,-0.0613208116477737,22.0,-0.820161914020928,-0.008863958233425479,-0.04079741240237578,20.0,-2.7193614022101498,-0.17171616931546715,-0.30263138737099726,-2.7016232659290114,-0.05266012390472576,-0.10364870122422654,2.9456154886103465,0.03604236570005901,-0.05609765133422695,-0.26640773710491206,-0.8770699737818242,-3.7657774026312745
5,42,150,selected_from_train_eligible,8,7.0,5.0,18.0,2026-01-27 07:10:00+00:00,2026-03-13 07:05:00+00:00,2026-03-13 07:10:00+00:00,2026-03-28 07:05:00+00:00,2026-03-28 07:10:00+00:00,2026-04-12 07:05:00+00:00,12960,4320,4320,-1.1622894601312652,-0.06409271855967336,-0.1762085908523744,50.0,-0.07792015560815169,-0.0035544540788822587,-0.0635289390156305,15.0,-2.7731027431623634,-0.03545767063596759,-0.061935312391214636,22.0,-2.312289571079462,-0.19319334090907625,-0.33588698467930933,-3.4055241903685736,-0.07097172994372261,-0.13608972552407683,4.572456674716441,0.07712602751190024,-0.04961135343992218,-1.0843693045231135,2.6951825875542115,-7.345559417878804
