split_idx,fast_window,slow_window,train_start,validation_start,test_start,test_end,train_sharpe_ratio,validation_sharpe_ratio,test_sharpe_ratio,train_validation_gap,validation_test_gap,test_vs_hold_gap,selection_metric
0,96,144,2024-10-19 07:15:00+00:00,2024-11-30 07:15:00+00:00,2024-12-18 07:15:00+00:00,2025-01-02 07:10:00+00:00,4.064726199187233,2.266360559498783,-6.6543808465491106,1.7983656396884502,8.920741406047894,-3.080550548669901,sharpe_ratio
1,36,144,2025-01-20 07:15:00+00:00,2025-03-03 07:15:00+00:00,2025-03-21 07:15:00+00:00,2025-04-05 07:10:00+00:00,-2.237820524576402,-3.2618493122520755,-1.2044705299545382,1.0240287876756735,-2.0573787822975373,-0.9492908171047159,sharpe_ratio
2,18,144,2025-04-23 07:15:00+00:00,2025-06-04 07:15:00+00:00,2025-06-22 07:15:00+00:00,2025-07-07 07:10:00+00:00,-2.9282873367190887,-2.554867802517779,-3.494911357552776,-0.3734195342013096,0.9400435550349968,-8.40484832734491,sharpe_ratio
3,36,96,2025-07-25 07:15:00+00:00,2025-09-05 07:15:00+00:00,2025-09-23 07:15:00+00:00,2025-10-08 07:10:00+00:00,-2.9732244332656683,-6.927409610872131,5.761310150093709,3.9541851776064623,-12.688719760965839,-0.2533321228840819,sharpe_ratio
4,48,96,2025-10-26 07:15:00+00:00,2025-12-07 07:15:00+00:00,2025-12-25 07:15:00+00:00,2026-01-09 07:10:00+00:00,-2.1625898108545933,-3.451139315357521,-3.784492790062188,1.2885495045029276,0.3333534747046669,-6.744305187219895,sharpe_ratio
5,36,144,2026-01-27 07:15:00+00:00,2026-03-10 07:15:00+00:00,2026-03-28 07:15:00+00:00,2026-04-12 07:10:00+00:00,-1.4815543623725504,1.359045703624978,-1.2570872783346254,-2.8406000659975286,2.6161329819596033,-5.808018416615731,sharpe_ratio
