split_idx,fast_window,slow_window,selection_status,candidate_count_used,train_rank,validation_rank,test_rank,train_start,train_end,validation_start,validation_end,test_start,test_end,train_bars,validation_bars,test_bars,train_sharpe_ratio,train_total_return,train_max_drawdown,train_trade_count,validation_sharpe_ratio,validation_total_return,validation_max_drawdown,validation_trade_count,test_sharpe_ratio,test_total_return,test_max_drawdown,test_trade_count,train_hold_sharpe_ratio,train_hold_total_return,train_hold_max_drawdown,validation_hold_sharpe_ratio,validation_hold_total_return,validation_hold_max_drawdown,test_hold_sharpe_ratio,test_hold_total_return,test_hold_max_drawdown,train_validation_gap,validation_test_gap,test_vs_hold_gap
0,96,150,selected_from_train_eligible,6,2.0,2.0,5.0,2024-10-19 07:10:00+00:00,2024-12-03 07:05:00+00:00,2024-12-03 07:10:00+00:00,2024-12-18 07:05:00+00:00,2024-12-18 07:10:00+00:00,2025-01-02 07:05:00+00:00,12960,4320,4320,3.7059182074405075,0.19090021841745283,-0.07777168433517934,49.0,4.269980219217672,0.06598036987344062,-0.0608964549614216,13.0,-6.640951267875438,-0.08479757303975533,-0.1109012202319557,20.0,5.610251614763815,0.3962826626934341,-0.08994226034372144,3.9160550406353964,0.08838325708385651,-0.09101673511863817,-3.621302876696766,-0.0829285405845111,-0.13006368890877207,0.12491984854401221,0.15077794291319596,-0.001869032455244224
1,42,150,selected_from_train_eligible,6,5.0,19.0,21.0,2025-01-20 07:10:00+00:00,2025-03-06 07:05:00+00:00,2025-03-06 07:10:00+00:00,2025-03-21 07:05:00+00:00,2025-03-21 07:10:00+00:00,2025-04-05 07:05:00+00:00,12960,4320,4320,-0.8002356926289871,-0.04609922779234375,-0.20576823677707234,51.0,-6.584887019683743,-0.1081587677954941,-0.14038731241357427,19.0,-2.1914319917429848,-0.029527460477362866,-0.0792259697926544,14.0,-2.018596263250727,-0.1599336491056108,-0.27983631869939096,-3.10541333876373,-0.08370026919645226,-0.16249886337593522,-0.33461434915895216,-0.00963179515073,-0.08209599921835442,0.06205954000315035,-0.07863130731813124,-0.019895665326632866
2,18,150,selected_from_train_eligible,6,4.0,12.0,22.0,2025-04-23 07:10:00+00:00,2025-06-07 07:05:00+00:00,2025-06-07 07:10:00+00:00,2025-06-22 07:05:00+00:00,2025-06-22 07:10:00+00:00,2025-07-07 07:05:00+00:00,12960,4320,4320,-2.5888990730050865,-0.08450873117906837,-0.135071853041831,76.0,-4.0541252249333395,-0.035099910103643765,-0.07285472146485494,19.0,-3.7868662656098877,-0.03433780268333908,-0.06713156359535932,29.0,2.767733510182611,0.1217027255471362,-0.10221366126038478,-1.4836001428057268,-0.022448914818135563,-0.08561601302929289,4.8197837091653986,0.05870826534452862,-0.04263230091690129,-0.04940882107542461,-0.0007621074203046849,-0.0930460680278677
3,30,102,selected_from_train_eligible,6,5.0,8.0,37.0,2025-07-25 07:10:00+00:00,2025-09-08 07:05:00+00:00,2025-09-08 07:10:00+00:00,2025-09-23 07:05:00+00:00,2025-09-23 07:10:00+00:00,2025-10-08 07:05:00+00:00,12960,4320,4320,-5.434977721611019,-0.13195964928038337,-0.1415577633171583,76.0,-4.704618151489789,-0.030706507145755835,-0.06078947687392555,24.0,3.351559337268412,0.03243889820163054,-0.04238970920740748,25.0,-0.8469092062613258,-0.03836090063196923,-0.13633996580258612,1.4864071171202544,0.014053518724752734,-0.05326465743049469,6.032451715276538,0.07579591101530878,-0.04579472543161123,-0.10125314213462754,-0.06314540534738637,-0.043357012813678236
4,42,102,selected_from_train_eligible,6,2.0,5.0,9.0,2025-10-26 07:10:00+00:00,2025-12-10 07:05:00+00:00,2025-12-10 07:10:00+00:00,2025-12-25 07:05:00+00:00,2025-12-25 07:10:00+00:00,2026-01-09 07:05:00+00:00,12960,4320,4320,-1.9636396249076642,-0.08040609577986038,-0.13749368164463283,66.0,-1.6972318878027521,-0.026664659744911206,-0.0613208116477737,22.0,-0.820161914020928,-0.008863958233425479,-0.04079741240237578,20.0,-2.7193614022101498,-0.17171616931546715,-0.30263138737099726,-2.7016232659290114,-0.05266012390472576,-0.10364870122422654,2.9456154886103465,0.03604236570005901,-0.05609765133422695,-0.05374143603494917,-0.017800701511485727,-0.04490632393348449
5,30,138,selected_from_train_eligible,6,5.0,7.0,12.0,2026-01-27 07:10:00+00:00,2026-03-13 07:05:00+00:00,2026-03-13 07:10:00+00:00,2026-03-28 07:05:00+00:00,2026-03-28 07:10:00+00:00,2026-04-12 07:05:00+00:00,12960,4320,4320,-0.6553365700959598,-0.040660373200511114,-0.17152402611615725,64.0,-0.45030851255678456,-0.00879483917986397,-0.054121217154806445,18.0,-1.4231764567466507,-0.01921863634014164,-0.05321426325330114,22.0,-2.312289571079462,-0.19319334090907625,-0.33588698467930933,-3.4055241903685736,-0.07097172994372261,-0.13608972552407683,4.572456674716441,0.07712602751190024,-0.04961135343992218,-0.031865534020647145,0.010423797160277672,-0.09634466385204188
